rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
3.84432 1.14224 2.60518 3.78943 5.20324 6.0773 6.45672 7.9432 9.31586 10.6154 11.9332 13.1338 14.1233 -80.5475 67.4892 173.185 -126.339 -209.975 -48.8851 485.225 -115.846 -605.318 942.768 -667.978 197.464
4.1657 1.30975 2.49647 3.14411 4.63348 6.09923 7.52208 8.57608 9.28528 10.3252 11.0838 12.1181 13.4519 -267.379 170.955 410.067 -193.976 -840.443 1383.53 201.809 -1226.98 -919.109 2262.88 -1152.23 182.03
4.24402 1.19126 2.02408 3.36504 4.78848 6.24905 7.22383 8.0391 9.11134 10.2369 11.1592 12.6545 12.7547 -333.291 132.342 831.219 -821.443 -800.404 1523.4 579.272 -1955.6 480.902 989.229 -4985.72 4371.23
4.1453 1.1477 2.1414 3.11883 4.28307 5.20869 6.10801 6.94621 8.26329 9.74287 11.2338 12.3237 13.3301 -206.286 56.414 367.494 214.653 -603.218 -535.027 759.926 625.238 -1582.44 1808.36 -1186.49 292.541
4.42839 1.14162 2.00945 2.65494 3.67049 5.04797 6.19626 7.29387 8.64174 8.88218 10.068 11.5258 12.8189 -613.034 105.538 725.857 909.943 -2245.55 -178.816 3516.05 -1755.14 -2574.45 2965.47 -1037.94 193.139
4.30616 1.08072 1.88049 3.26664 3.62632 4.02477 5.50634 6.59378 7.9562 9.10169 10.4615 11.8536 13.2258 -303.678 45.264 537.579 400.039 -0.751308 -2130.38 1530.86 1471.05 -2982.44 2144.56 -853.784 152.783
4.16474 1.04415 2.51873 3.85685 4.88115 6.37765 7.41345 8.65471 8.67886 9.76844 11.2675 11.9805 13.4779 -235.734 289.588 457.114 -645.607 -588.638 1249.09 53.3496 5.70858 -1553.83 2451.62 -1639.61 168.097
4.27439 1.26389 2.65387 3.22574 4.68615 5.83323 6.46684 7.60405 8.80475 9.40965 10.8773 11.993 12.9825 -343.171 294.867 522.825 -317.837 -1109.78 301.278 1801.15 -527.487 -1770.79 2203.29 -1381.69 338.462
4.1788 0.809071 1.82574 3.17964 4.27374 5.51684 6.86765 8.01469 8.16572 9.49937 10.9084 12.1122 13.5778 -197.124 37.914 441.457 135.421 -1072.04 581.661 595.72 381.974 -1936.86 1743.78 -831.246 130.49
4.24691 1.40328 2.48812 3.28316 4.36764 5.84642 7.04929 8.32114 9.13435 9.78905 10.9471 12.3314 12.6896 -307.274 188.525 493.376 -22.7095 -1402.59 1389.63 776.985 -1002.15 -1470 2389.72 -2529.31 1506.93
4.18762 1.1207 2.5458 3.8764 4.29428 5.02874 6.18088 6.76996 8.16627 9.49005 10.7518 12.2188 13.5249 -262.056 313.649 464.579 126.515 -916.436 -661.131 914.173 1012.08 -2169.61 1743.31 -699.612 145.689
4.42406 1.11147 2.55397 3.58402 4.84229 5.42473 6.0276 7.44638 8.92942 9.52258 10.7734 11.4775 12.14 -490.007 559.942 876.326 -883.525 -1280.38 321.794 2570.4 -2364.99 -1274.92 5597.02 -5003.39 1382.8
4.27563 1.17262 2.39697 3.61099 3.9762 5.47324 6.1002 7.42734 8.63316 10.1207 11.4537 11.7912 12.9727 -324.496 285.35 472.623 183.222 -1554.21 14.1293 2405.88 -1899.15 -229.108 4243.19 -3938.95 352.634
4.34385 1.36543 2.82003 2.94616 4.44123 5.74782 7.20381 8.56714 9.58507 9.9137 11.3037 11.6048 12.7601 -529.524 547.635 619.43 -403.331 -1520.97 2727.08 -1630.23 -1437.76 1052.66 4895.41 -4711.72 402.421
4.19281 1.43619 2.92015 4.34409 5.83902 6.65154 7.1827 8.66076 9.49765 10.3067 11.3711 11.9238 13.2975 -268.343 482.959 201.803 -1487.54 258.596 1358.44 133.448 -1343.37 -201.088 2930.74 -2279.93 225.424
4.37219 1.48494 2.4901 3.92117 4.97476 5.59654 6.65032 7.40834 8.62099 9.41097 10.221 11.562 13.0087 -532.355 520.827 1204.82 -969.681 -1944.23 1243.04 2254.86 -1681.47 -2625.16 3496.89 -1121.43 164.98
4.35037 1.29724 1.78095 1.92975 3.0882 4.57539 5.90485 7.2189 8.43514 9.62229 10.9259 12.1196 12.2593 -447.675 -46.9653 94.1306 1102.94 -628.516 -1413.5 2778.3 -1325.54 -1360.69 2808.1 -7604.43 6054.96
4.43353 1.26207 2.00062 2.7277 3.54489 4.63306 5.40513 6.65704 8.00409 9.44721 10.6664 11.8681 12.0076 -659.101 59.1554 823.501 1031.95 -1026.52 -2122.41 3031.81 -635.199 -2236.81 3578.8 -8778.83 6944.72
4.49248 1.27105 2.10118 3.11646 3.70155 4.6983 5.63656 6.54671 7.81642 8.75378 10.2318 11.1432 12.4031 -735.615 221.841 1226.45 939.013 -1880.79 -2557.12 3654.18 1682.07 -4830.68 4360.54 -2392.02 323.175
3.98145 1.21727 2.5279 3.49984 4.64153 6.14049 7.29518 8.10326 8.69064 9.87157 11.2624 12.7466 14.1005 -131.591 93.3012 241.227 -69.4011 -609.626 430.895 485.933 63.2022 -1144.81 1021.44 -476.189 106.815
4.29587 1.06933 1.53604 2.70164 3.51874 4.9342 6.32491 7.63555 8.74813 10.0638 10.9924 11.6546 13.0414 -290.691 -103.356 503.504 616.353 -1280.86 20.7835 1830.59 -1484.37 -1377.05 3738.38 -2401.9 239.73
4.24998 0.666155 2.10624 3.25334 3.3661 4.81355 6.10743 6.97269 8.42802 9.74086 10.7344 12.0799 13.2345 -276.781 113.41 396.044 388.185 -893.602 -695.588 1448.44 100.402 -2099.93 2277.9 -960.63 213.269
4.39777 1.46462 2.18179 3.44162 4.91622 6.31248 7.7159 7.96354 9.21389 10.6608 10.8666 11.1835 12.5935 -582.962 276.45 1398.77 -1923.8 278.194 1825.36 592.321 -4151.66 4714.2 2878.46 -5644.6 350.339
4.2745 1.47289 2.67003 3.92206 4.53949 5.97861 7.09089 8.10766 9.47562 9.8242 11.2323 11.6833 12.8247 -362.505 474.946 548.489 -407.834 -1500.34 1742.43 412.756 -1775.65 -421.585 5191.83 -4349.78 458.366
4.36517 1.00635 2.40887 3.52008 4.47684 4.73109 5.87697 7.02851 8.43025 9.42634 10.9203 12.1957 12.3047 -502.843 547.096 977.605 -366.335 -949.96 -1041.22 2567.96 -1205.48 -930.864 2095.72 -7641.8 6461.2
4.16713 1.47533 2.48761 3.59608 4.61382 5.59506 6.36265 7.70781 9.03503 10.4974 11.2775 12.0428 13.4236 -255.783 169.122 515.198 -73.0786 -960.657 68.0247 1488.27 -1243.88 -852.857 2544.42 -1580.5 192.874
4.25274 1.03267 2.28958 3.69166 4.37572 5.84769 6.46018 7.59232 8.97566 10.1684 11.0944 12.1169 12.7213 -262.212 237.313 495.208 -128.894 -1340.8 272.157 1824.58 -1309.98 -1271.1 3045.65 -2491.96 941.164
3.99632 1.0674 1.33894 2.34838 3.62372 5.06631 6.46726 7.64101 8.97777 10.3143 11.7981 12.7145 13.6069 -92.8732 -59.886 120.406 299.332 -359.766 -274.098 674.439 -56.738 -852.041 1537.22 -1267.08 342.277
