rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
9.07988 0.461399 1.27554 1.92772 2.4273 3.1985 4.04739 5.01176 5.37081 5.97247 6.26919 7.08202 7.78045 444.745 82.6024 -311.016 -564.484 -484.881 706.126 1485.71 516.11 -1908.71 -2048.31 3106.53 -1012.9
8.92805 0.904523 1.8133 2.15465 2.79669 3.67226 4.57169 5.42577 5.88712 5.95746 6.34927 7.33335 7.89558 471.332 -70.9273 -305.005 -617.159 -198.492 1362.58 1063.66 -637.342 -892.306 -1594.68 2536.26 -1106.42
9.3652 0.9756 1.62301 2.29212 3.1621 4.15336 4.92888 5.78461 6.37708 6.69835 6.9359 7.07469 7.27465 898.077 -106.834 -1160.44 -1188.79 1974.95 2343.38 -4466.39 -2244.81 2222.35 3640.2 2328.07 -4228.21
9.49972 0.144967 1.14056 1.78539 2.32381 3.31165 3.61051 4.60746 5.094 5.72934 6.39709 7.31382 7.40181 997.15 23.3853 -844.002 -1359.02 -181.056 883.699 3086.15 -40.1787 -5934.19 3505.02 3900.27 -4025.64
8.58625 0.656345 1.54465 2.41956 2.85442 3.40858 4.39507 5.22875 5.99192 6.51195 6.93331 7.49977 8.42368 222.509 27.617 -220.28 -291.952 -224.968 500.324 856.114 -439.329 -1086.13 -454.808 1530.63 -408.292
8.9053 0.572098 1.49046 2.43128 3.38983 4.21668 5.13142 5.7933 6.05622 6.26114 7.16303 7.55042 7.89624 364.692 -39.6737 -567.901 -510.679 661.509 1599.79 -176.788 -1112.19 -1554.68 1041.3 1706.28 -1400.16
9.20647 0.816586 1.57387 2.27981 3.14793 4.1118 4.30869 5.22092 5.80813 6.67332 7.26411 7.38086 7.5468 703.489 -76.0928 -901.004 -1104.24 953.012 1486.97 826.669 -3067 -149.384 3080.99 1502.02 -3243.89
9.54291 0.89411 1.35294 2.31935 2.95792 3.38236 4.20959 4.87993 5.53302 5.68996 6.46125 6.90623 7.13264 907.543 148.049 -1447.23 -1364.7 -275.079 3318.32 2932.84 -3285.83 -4492.44 2784.07 5185.96 -4399.9
9.61303 0.949671 1.14468 1.84485 2.77067 3.7322 4.68004 5.42301 5.91419 6.11402 6.71636 6.73928 6.94367 1057.01 567.419 -1384.04 -2453.71 1851.26 4500.52 -4111.97 -4293.7 -233.403 7122.43 6304.88 -8915.09
8.91219 0.636931 1.45587 2.00594 2.70571 3.11223 3.75789 4.41344 5.02611 5.5338 6.52398 7.40786 7.8646 379.08 41.1179 -244.171 -488.849 -436.734 109.769 972.888 890.422 -732.86 -2042.62 3060.61 -1497.16
9.53835 0.724842 1.34586 1.79949 2.4213 3.02451 3.96453 4.93281 5.33965 5.81629 6.30121 6.51056 7.37309 1089.41 131.646 -673.594 -1458.38 -1055.98 2789.02 2890.25 -1621.81 -6182.78 -397.965 5645.43 -1143.65
9.75004 0.884749 1.04583 1.7317 2.39619 2.87073 3.8129 4.73126 5.0032 5.36595 5.62194 6.29136 7.06487 1130.13 766.198 -970.496 -2095.93 -1651.78 3459.88 4371.63 1064.79 -4837.97 -7392.77 7972.21 -1804.26
8.52019 0.903977 1.75792 2.16402 3.09898 4.09156 5.05301 5.49785 5.59657 6.18668 6.81654 7.6952 8.30081 249.099 -19.31 -176.464 -410.616 45.7592 757.138 390.811 212.989 -1091.14 -968.549 1778.13 -756.414
9.4586 0.823372 1.70961 2.68054 3.32356 4.2382 4.55983 4.68877 5.16384 5.61738 5.80081 6.51806 7.48817 866.755 -336.339 -1445.15 -977.671 1530.73 1967.96 1890.15 -71.1083 -3305.35 -3950 4726.62 -885.023
8.4647 0.921453 1.76699 2.67279 3.58803 4.19431 5.00153 5.83323 6.05478 6.97689 7.27202 7.95919 8.34372 242.918 -43.5834 -387.119 -310.003 223.936 1013.04 -80.1587 -688.206 -807.443 207.833 1680.52 -1040.31
9.68475 0.526621 1.42136 1.93068 2.87064 3.48084 4.06472 4.62909 5.49132 6.0816 6.57367 6.60789 6.9438 1347.58 -268.359 -1329.37 -1830.36 63.7787 2794 3037.94 -5684.59 -3688.41 5379.5 5491.85 -5301.95
9.66605 0.307744 1.02035 1.53469 2.23019 3.13478 3.73758 4.52348 4.69071 5.44058 6.28346 6.51415 7.18939 1145.42 207.715 -684.698 -1732.7 -995.496 1429.13 2975.17 2173.15 -7313.51 -1570.28 6057.38 -1679.67
9.34344 0.670729 1.44474 2.13538 2.50648 3.38518 4.31466 5.25758 6.04009 6.43157 6.69059 7.26228 7.42192 809.593 17.4419 -774.239 -1022.49 -196.663 2579.36 108.943 -4324.76 -604.643 3542.15 3297.68 -3420.8
8.94274 0.652454 0.847372 0.963869 1.57664 2.1154 3.03327 4.02337 5.00536 5.62154 6.45415 7.38469 7.82138 259.772 184.086 133.899 -186.858 -492.321 -622.647 608.502 1422.28 -723.48 -2161.88 3221.61 -1631.46
8.86429 0.383684 1.3435 1.53971 2.51581 3.37235 4.0537 5.01563 5.48983 6.42509 7.2973 7.42559 7.91067 335.191 1.77793 -90.692 -524.734 -375.263 441.216 1200.96 30.2456 -2684.9 1279.26 1666.57 -1268.14
8.36168 0.78919 1.59231 2.57322 3.43172 4.29694 4.98337 5.80636 5.98387 6.4549 7.08314 7.7158 8.6712 177.165 7.95073 -265.179 -315.163 161.561 703.342 219.851 -106.345 -870.211 -549.039 1167.68 -320.208
9.51725 0.630847 1.46386 1.96159 2.20841 2.39434 3.26226 3.66867 4.06036 5.03946 5.86037 6.85474 7.20459 1126.59 94.3598 -613.024 -899.867 -1051.91 -423.036 780.024 2136.44 911.893 -4891.52 6347.03 -3505.4
9.12815 0.909905 1.66345 2.23367 3.21865 3.61636 4.20916 4.36824 4.7006 5.14978 6.023 7.01119 7.76206 567.945 -49.3065 -583.356 -867.299 -462.706 615.153 892.882 1201.97 476.974 -3761.91 2885.78 -904.604
9.35837 0.148397 1.01788 2.0155 2.92181 3.26728 3.91096 4.73248 5.39565 5.66509 6.18228 6.9013 7.42104 586.854 73.4645 -782.148 -889.807 -436.93 1199.94 2571.55 -333.394 -2156.25 -2645.86 4767.72 -1943.59
9.69785 0.881116 1.55448 1.596 2.29766 2.68616 3.28307 4.09154 4.31733 4.89534 5.84395 6.36948 7.06749 1480.38 -79.9023 -182.433 -1593.41 -1720.22 -333.573 3013.44 3103.61 -1484.09 -9550.56 9561.33 -2202.95
9.10035 0.623386 1.43518 2.14446 3.11426 4.11397 4.60245 5.38153 5.90513 6.72806 6.85775 7.10914 7.83669 532.026 -10.5128 -624.302 -931.017 648.119 1621.28 377.441 -2628.22 -1054.02 207.499 2715.12 -841.885
