Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
606.547 2.79515 266.518 238.876 1.09088 1.24576 0.3 0.8 1.3 2 2.6 3.5 4.5 3.9 3.4 4 0 0 0.161279 0.300662 0.310047 0.163998 0.0891856 0.0137541 1.37532e-08 0.0519553 0.011933 0.009121 0 0 0.199547 0.243938 0.336789 0.210498 0.120351 0.0935693 0.0410701 3.11327e-07 0.016696 0.015077 0 0
601.69 2.77276 264.637 236.995 1.09022 1.31371 0.3 0.7 1.2 1.8 2.5 3.3 4.1 4.7 3.4 4 0 0 0.141946 0.248015 0.330035 0.175758 0.120863 0.0245534 0.0490467 1.62496e-10 0.011933 0.009121 0 0 0.182676 0.208492 0.32595 0.249118 0.16927 0.103835 0.0614393 0.01293 0.016696 0.015077 0 0
606.286 2.79395 266.418 238.775 1.09239 1.30398 0.1 0.6 1.3 1.9 2.5 3.4 4.3 5.3 3.4 4 0 0 0.0482657 0.35367 0.385009 0.104101 0.129692 0.034988 0.0366605 1.11022e-16 0.011933 0.009121 0 0 0.0765732 0.329176 0.378894 0.176998 0.165604 0.108749 0.0648459 0.0031415 0.016696 0.015077 0 0
601.347 2.77119 264.504 236.861 1.08841 1.33601 0.4 0.8 1.2 1.7 2.3 3.2 4.1 4.9 3.4 4 0 0 0.245267 0.124293 0.363898 0.107028 0.161923 0.0387572 0.0472425 9.11549e-12 0.011933 0.009121 0 0 0.29949 0.053571 0.379896 0.16319 0.218309 0.13112 0.0755518 0.0148842 0.016696 0.015077 0 0
607.469 2.7994 266.874 239.231 1.08768 1.34649 0.3 0.9 1.6 2.1 2.6 3.4 4.3 5.2 3.4 4 0 0 0.19622 0.350871 0.370937 1.28553e-10 0.0843447 0.0637738 0.0215362 2.7537e-11 0.011933 0.009121 0 0 0.202807 0.382144 0.322353 0.0874567 0.160927 0.103363 0.0689483 0.0184901 0.016696 0.015077 0 0
601.653 2.7726 264.623 236.98 1.09013 1.3209 0.3 0.7 1.3 1.9 2.5 3.3 4.1 4.7 3.4 4 0 0 0.13268 0.289761 0.353747 0.121023 0.118969 0.0242919 0.0496614 1.81388e-12 0.011933 0.009121 0 0 0.175984 0.24361 0.365011 0.190121 0.164486 0.106535 0.0614824 0.0136685 0.016696 0.015077 0 0
601.318 2.77105 264.492 236.85 1.08767 1.35716 0.3 0.8 1.3 1.8 2.4 3.2 4.1 5 3.4 4 0 0 0.157892 0.314936 0.273424 0.130078 0.130317 0.0331095 0.0479161 6.29885e-13 0.011933 0.009121 0 0 0.19455 0.275245 0.276374 0.204896 0.174377 0.128826 0.0847795 0.0181127 0.016696 0.015077 0 0
601.231 2.77065 264.458 236.816 1.08906 1.33674 0.2 0.6 1.3 1.7 2.3 3.2 4.1 4.9 3.4 4 0 0 0.0657007 0.325534 0.405866 0.0327381 0.172945 0.0381669 0.0481104 5.68429e-12 0.011933 0.009121 0 0 0.0969819 0.305713 0.37795 0.109058 0.229073 0.128997 0.0746387 0.0143273 0.016696 0.015077 0 0
606.189 2.7935 266.38 238.738 1.08066 1.36004 0.3 0.8 1.3 2 2.8 3.3 4.1 5 3.4 4 0 0 0.199229 0.19942 0.391914 0.166346 0.0381961 0.063571 0.0219812 2.85276e-10 0.011933 0.009121 0 0 0.196603 0.262551 0.31842 0.26612 0.129945 0.0694252 0.082582 0.0343948 0.016696 0.015077 0 0
604.731 2.78678 265.817 238.174 1.08422 1.31697 0.1 0.6 1.2 1.8 2.2 3 3.8 4.7 3.4 4 0 0 0.0732379 0.270684 0.42239 0.0358238 0.198088 0.0181391 0.0658564 8.63807e-11 0.011933 0.009121 0 0 0.0910991 0.275892 0.379755 0.140699 0.190528 0.123164 0.0801309 0.0357009 0.016696 0.015077 0 0
606.547 2.79515 266.518 238.876 1.09088 1.24576 0.3 0.8 1.3 2 2.6 3.5 4.5 3.9 3.4 4 0 0 0.161279 0.300662 0.310047 0.163998 0.0891863 0.0137531 1.17707e-08 0.0519564 0.011933 0.009121 0 0 0.199547 0.243938 0.336788 0.210497 0.120351 0.0935692 0.04107 3.41597e-07 0.016696 0.015077 0 0
602.439 2.77622 264.928 237.286 1.0949 1.27206 0.3 0.7 1.2 1.9 2.4 3 4 5 3.4 4 0 0 0.149931 0.220472 0.378167 0.151362 0.096747 0.042035 0.0561841 1.7264e-14 0.011933 0.009121 0 0 0.1861 0.192709 0.356935 0.249308 0.0770416 0.121304 0.0731488 0.0155134 0.016696 0.015077 0 0
604.605 2.7862 265.768 238.125 1.0887 1.348 0.3 0.8 1.3 2 2.5 3.3 4.1 4.8 3.4 4 0 0 0.161019 0.300054 0.312102 0.15073 0.0859997 0.0330138 0.0457846 2.39125e-12 0.011933 0.009121 0 0 0.201431 0.243905 0.350131 0.210531 0.132056 0.121212 0.0637977 0.0249396 0.016696 0.015077 0 0
605.19 2.7889 265.994 238.352 1.08729 1.34491 0.2 0.8 1.3 1.8 2.4 3.2 4 4.8 3.4 4 0 0 0.119587 0.380263 0.231397 0.149774 0.126569 0.0278044 0.0518926 5.16398e-12 0.011933 0.009121 0 0 0.147208 0.354375 0.228735 0.220809 0.171825 0.118678 0.0739675 0.0293135 0.016696 0.015077 0 0
601.646 2.77256 264.62 236.978 1.09129 1.32868 0.3 0.9 1.6 1.7 2.4 3.2 4.1 5 3.4 4 0 0 0.167488 0.4289 0.275204 3.23359e-10 0.133189 0.0396439 0.0468623 3.39173e-14 0.011933 0.009121 0 0 0.203135 0.381307 0.285522 0.0602267 0.189264 0.113998 0.0770219 0.0182027 0.016696 0.015077 0 0
601.882 2.77365 264.712 237.069 1.08965 1.3322 0.3 0.8 1.4 1.9 2.5 3.3 4.1 4.8 3.4 4 0 0 0.151488 0.348372 0.29635 0.0978631 0.121983 0.0242654 0.049329 4.40751e-11 0.011933 0.009121 0 0 0.190646 0.301416 0.318972 0.159433 0.173933 0.106361 0.0665564 0.0148866 0.016696 0.015077 0 0
604.972 2.78789 265.91 238.268 1.08518 1.31618 0.4 0.5 1.2 1.6 2.2 3.1 4 4.7 3.4 4 0 0 0.263803 0.0474168 0.378767 0.175817 0.100911 0.0839694 0.0289355 0.0055562 0.011933 0.009121 0 0 0.256204 0.0744085 0.408329 0.107433 0.243451 0.131971 0.0664042 0.0279815 0.016696 0.015077 0 0
601.646 2.77256 264.62 236.978 1.0913 1.3286 0.3 0.9 1.6 1.7 2.4 3.2 4.1 5 3.4 4 0 0 0.167487 0.428901 0.275204 1.71587e-07 0.133189 0.0396472 0.0468749 5.55167e-13 0.011933 0.009121 0 0 0.203135 0.381305 0.285522 0.0602215 0.189256 0.11398 0.0769983 0.0181862 0.016696 0.015077 0 0
607.6 2.8 266.924 239.282 1.09015 1.36737 0.2 0.7 1.4 2 2.6 3.4 4.2 4.9 3.4 4 0 0 0.087231 0.377528 0.356966 0.0870908 0.113521 0.0206644 0.0471494 2.13551e-13 0.011933 0.009121 0 0 0.121242 0.345857 0.372254 0.170182 0.170124 0.108957 0.0679158 0.0108336 0.016696 0.015077 0 0
602.796 2.77786 265.067 237.424 1.08426 1.34513 0.3 0.8 1.3 1.8 2.3 3.1 4 4.8 3.4 4 0 0 0.161301 0.301753 0.298731 0.0885468 0.149001 0.0334474 0.0514746 1.54759e-11 0.011933 0.009121 0 0 0.195256 0.27119 0.287603 0.175036 0.172801 0.137664 0.0841226 0.0214611 0.016696 0.015077 0 0
602.469 2.77635 264.94 237.297 1.09406 1.30457 0.3 0.8 1.4 2 2.6 3.4 4.2 4.3 3.4 4 0 0 0.151126 0.348836 0.302631 0.117159 0.10373 0.0236293 0.0469516 2.21996e-08 0.011933 0.009121 0 0 0.191097 0.297104 0.33391 0.180001 0.145838 0.0987264 0.0366301 0.0212673 0.016696 0.015077 0 0
606.547 2.79515 266.518 238.876 1.09088 1.24576 0.3 0.8 1.3 2 2.6 3.5 4.5 3.9 3.4 4 0 0 0.161278 0.300664 0.310044 0.164003 0.0891787 0.0137606 4.83653e-09 0.0519489 0.011933 0.009121 0 0 0.199547 0.243938 0.336789 0.210497 0.12035 0.0935673 0.0410675 1.78968e-09 0.016696 0.015077 0 0
602.045 2.7744 264.775 237.133 1.0875 1.31702 0.3 0.8 1.4 1.8 2.4 3.2 4 4.7 3.4 4 0 0 0.153041 0.343595 0.30093 0.0679817 0.144422 0.0247717 0.0527558 3.01446e-10 0.011933 0.009121 0 0 0.19023 0.302853 0.304015 0.135481 0.189417 0.107953 0.0669072 0.0201689 0.016696 0.015077 0 0
606.809 2.79635 266.62 238.977 1.09226 1.30032 0.3 0.7 1.3 1.9 2.5 3.4 4.3 5.3 3.4 4 0 0 0.132045 0.291627 0.35451 0.116852 0.125234 0.0360713 0.0359231 2.33702e-14 0.011933 0.009121 0 0 0.175625 0.240837 0.364397 0.180551 0.162557 0.108322 0.0646417 0.00338659 0.016696 0.015077 0 0
605.344 2.7896 266.054 238.411 1.09258 1.30465 0.3 0.8 1.3 1.9 2.6 3.4 4.2 4.3 3.4 4 0 0 0.15591 0.319217 0.276701 0.166045 0.105057 0.0252975 0.044352 9.05946e-09 0.011933 0.009121 0 0 0.19493 0.26965 0.294098 0.236857 0.150876 0.0983117 0.0297843 0.0301446 0.016696 0.015077 0 0
602.84 2.77807 265.084 237.442 1.09125 1.34591 0.3 0.8 1.4 2 2.5 3.3 4.2 5.2 3.4 4 0 0 0.152323 0.344989 0.310929 0.0956457 0.110645 0.0319486 0.0447734 4.78118e-12 0.011933 0.009121 0 0 0.191798 0.295122 0.341676 0.161583 0.147214 0.119993 0.0771377 0.0113891 0.016696 0.015077 0 0
605.622 2.79089 266.161 238.519 1.08966 1.36495 0.2 0.8 1.4 1.8 2.5 3.3 4.2 5.2 3.4 4 0 0 0.113016 0.415987 0.225621 0.137356 0.122739 0.0320533 0.042887 2.24765e-13 0.011933 0.009121 0 0 0.141539 0.390352 0.213313 0.226485 0.173946 0.118979 0.0842697 0.0160623 0.016696 0.015077 0 0
