Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
603.853 2.78273 265.477 237.834 1.08495 1.32208 0.3 0.7 1.3 1.7 2.3 3.1 3.9 4.7 3.4 4 0 0 0.137121 0.27903 0.361389 0.0580256 0.167332 0.0251037 0.0569469 5.38904e-10 0.011933 0.009121 0 0 0.174305 0.250133 0.333252 0.139396 0.207042 0.114655 0.0737771 0.02952 0.016696 0.015077 0 0
601.347 2.77119 264.504 236.861 1.08841 1.33601 0.4 0.8 1.2 1.7 2.3 3.2 4.1 4.9 3.4 4 0 0 0.245267 0.124293 0.363898 0.107028 0.161923 0.0387572 0.0472425 9.11549e-12 0.011933 0.009121 0 0 0.29949 0.053571 0.379896 0.16319 0.218309 0.13112 0.0755518 0.0148842 0.016696 0.015077 0 0
607.117 2.79778 266.738 239.096 1.09092 1.35197 0.3 0.8 1.3 1.9 2.4 3.3 4.2 4.9 3.4 4 0 0 0.159387 0.302229 0.308422 0.114326 0.119543 0.0444288 0.0425905 1.11022e-16 0.011933 0.009121 0 0 0.201252 0.248093 0.339491 0.166462 0.186508 0.130666 0.0651915 0.0143074 0.016696 0.015077 0 0
602.469 2.77635 264.94 237.297 1.09406 1.30457 0.3 0.8 1.4 2 2.6 3.4 4.2 4.3 3.4 4 0 0 0.151126 0.348836 0.302631 0.117159 0.10373 0.0236295 0.0469515 2.21802e-08 0.011933 0.009121 0 0 0.191097 0.297104 0.33391 0.180001 0.145837 0.0987262 0.0366299 0.0212674 0.016696 0.015077 0 0
605.629 2.79092 266.164 238.522 1.0896 1.32887 0.3 0.9 1.4 2 2.5 3.3 4.1 4.8 3.4 4 0 0 0.174155 0.389266 0.212668 0.150412 0.0840311 0.0340154 0.0450513 1.87679e-10 0.011933 0.009121 0 0 0.209824 0.331113 0.262805 0.194319 0.129942 0.116073 0.0616684 0.0231258 0.016696 0.015077 0 0
606.623 2.7955 266.548 238.905 1.08915 1.34481 0.2 0.7 1.2 1.7 2.2 3.1 4 4.9 3.4 4 0 0 0.11195 0.272208 0.358684 0.0646606 0.188172 0.0399199 0.0535539 7.95974e-13 0.011933 0.009121 0 0 0.136986 0.264477 0.322594 0.144817 0.225329 0.139291 0.0825312 0.0287854 0.016696 0.015077 0 0
602.895 2.77832 265.105 237.463 1.08976 1.29992 0.3 0.7 1.3 1.8 2.3 3.1 4 4.8 3.4 4 0 0 0.13674 0.276789 0.376759 0.0505447 0.157958 0.0388832 0.0520811 3.63271e-12 0.011933 0.009121 0 0 0.175996 0.243073 0.358691 0.130481 0.186213 0.116661 0.0708878 0.0179204 0.016696 0.015077 0 0
604.577 2.78607 265.757 238.115 1.09072 1.36252 0.4 1 1.4 1.8 2.4 3.3 4.2 5.1 3.4 4 0 0 0.251621 0.331341 0.18359 0.103118 0.136308 0.0392826 0.0454622 1.1437e-12 0.011933 0.009121 0 0 0.300862 0.230207 0.278314 0.122556 0.220573 0.128757 0.0721935 0.00905509 0.016696 0.015077 0 0
601.111 2.7701 264.412 236.769 1.08907 1.32971 0.3 0.7 1.2 1.7 2.3 3.1 4 4.9 3.4 4 0 0 0.146411 0.236093 0.338529 0.125773 0.1528 0.0343935 0.0550695 4.34297e-12 0.011933 0.009121 0 0 0.182013 0.213272 0.307906 0.209081 0.18913 0.128415 0.0796829 0.0202088 0.016696 0.015077 0 0
603.417 2.78072 265.308 237.665 1.0872 1.32195 0.3 0.7 1.3 1.8 2.4 3.2 4 4.7 3.4 4 0 0 0.133868 0.286351 0.353903 0.0929502 0.141981 0.025663 0.0524805 9.89995e-10 0.011933 0.009121 0 0 0.174846 0.248307 0.34733 0.16556 0.188641 0.109113 0.0671436 0.0210096 0.016696 0.015077 0 0
607.142 2.79789 266.748 239.105 1.09132 1.3458 0.2 0.7 1.3 1.9 2.4 3.3 4.2 4.9 3.4 4 0 0 0.0978641 0.333823 0.347099 0.101518 0.12499 0.0432514 0.0427731 2.24265e-14 0.011933 0.009121 0 0 0.131396 0.300742 0.358519 0.162428 0.185139 0.128897 0.0648765 0.0138063 0.016696 0.015077 0 0
605.947 2.79238 266.287 238.644 1.08652 1.32361 0.3 0.8 1.4 1.9 2.5 3.3 4.2 5 3.4 4 0 0 0.1886 0.257756 0.375784 0.096004 0.0705476 0.0736751 0.0241562 5.4956e-14 0.011933 0.009121 0 0 0.190317 0.30116 0.317703 0.154438 0.171456 0.104159 0.0635622 0.0208121 0.016696 0.015077 0 0
604.793 2.78707 265.841 238.198 1.08759 1.34331 0.2 0.8 1.4 1.8 2.3 3.1 3.9 4.8 3.4 4 0 0 0.119086 0.393204 0.285397 0.0415948 0.165912 0.0209606 0.0614327 5.89201e-12 0.011933 0.009121 0 0 0.145295 0.372344 0.272187 0.12297 0.194077 0.120448 0.0810373 0.0349494 0.016696 0.015077 0 0
604.278 2.78469 265.641 237.999 1.08328 1.33879 0.3 0.8 1.2 1.8 2.3 3.1 3.9 4.7 3.4 4 0 0 0.17201 0.231796 0.337717 0.107918 0.152524 0.0260076 0.0553093 7.27252e-13 0.011933 0.009121 0 0 0.205619 0.204824 0.322747 0.192028 0.179154 0.122293 0.0778839 0.0342392 0.016696 0.015077 0 0
606.054 2.79287 266.328 238.685 1.08885 1.32642 0.4 0.8 1.3 1.9 2.4 3.3 4.3 5.2 3.4 4 0 0 0.288473 0.0623429 0.454432 0.101545 0.0776039 0.0808212 0.0236343 4.84279e-13 0.011933 0.009121 0 0 0.291397 0.105863 0.410974 0.125692 0.194608 0.119236 0.0642586 0.014387 0.016696 0.015077 0 0
602.252 2.77536 264.856 237.213 1.09084 1.35057 0.2 0.6 1.3 1.8 2.4 3.3 4.2 5.1 3.4 4 0 0 0.0623344 0.333249 0.392987 0.0719079 0.149809 0.0352287 0.0453301 9.64395e-13 0.011933 0.009121 0 0 0.096702 0.306717 0.383632 0.144583 0.210565 0.126394 0.0731345 0.00883967 0.016696 0.015077 0 0
605.947 2.79238 266.287 238.644 1.08652 1.32361 0.3 0.8 1.4 1.9 2.5 3.3 4.2 5 3.4 4 0 0 0.1886 0.257756 0.375784 0.096004 0.0705476 0.0736751 0.0241562 5.49005e-14 0.011933 0.009121 0 0 0.190317 0.30116 0.317703 0.154438 0.171456 0.104159 0.0635622 0.0208121 0.016696 0.015077 0 0
603.417 2.78072 265.308 237.665 1.0872 1.32195 0.3 0.7 1.3 1.8 2.4 3.2 4 4.7 3.4 4 0 0 0.133868 0.286351 0.353903 0.0929502 0.141981 0.025663 0.0524805 9.90102e-10 0.011933 0.009121 0 0 0.174846 0.248307 0.34733 0.16556 0.188641 0.109113 0.0671436 0.0210096 0.016696 0.015077 0 0
605.748 2.79147 266.21 238.567 1.08841 1.3257 0.3 0.6 1.3 1.9 2.4 3.3 4.3 5.2 3.4 4 0 0 0.153097 0.198485 0.451251 0.105677 0.0759898 0.0812991 0.0226067 5.22915e-13 0.011933 0.009121 0 0 0.144743 0.242741 0.421175 0.123998 0.193213 0.118816 0.0655997 0.0154146 0.016696 0.015077 0 0
601.228 2.77063 264.457 236.815 1.09005 1.32557 0.2 0.7 1.3 1.8 2.5 3.3 4.1 4.8 3.4 4 0 0 0.0939451 0.35036 0.303504 0.142755 0.12678 0.0231196 0.0495885 2.32092e-13 0.011933 0.009121 0 0 0.124135 0.32605 0.291815 0.221517 0.178243 0.103703 0.0663571 0.0137483 0.016696 0.015077 0 0
607.555 2.79979 266.907 239.264 1.09131 1.31668 0.3 0.8 1.3 1.8 2.5 3.4 4.3 5.3 3.4 4 0 0 0.15507 0.324923 0.257806 0.153713 0.127594 0.0371483 0.0350569 5.14033e-14 0.011933 0.009121 0 0 0.193083 0.277383 0.263805 0.221824 0.176085 0.109842 0.0684798 0.00618226 0.016696 0.015077 0 0
601.654 2.7726 264.623 236.98 1.09018 1.32045 0.3 0.7 1.3 1.9 2.5 3.3 4.1 4.7 3.4 4 0 0 0.132692 0.289729 0.353802 0.120975 0.11902 0.0242902 0.049668 1.43598e-09 0.011933 0.009121 0 0 0.175978 0.243599 0.364968 0.190063 0.164377 0.106408 0.061412 0.0136453 0.016696 0.015077 0 0
601.646 2.77256 264.62 236.978 1.0913 1.3286 0.3 0.9 1.6 1.7 2.4 3.2 4.1 5 3.4 4 0 0 0.167487 0.4289 0.275204 1.65911e-07 0.133189 0.0396471 0.0468749 3.10973e-13 0.011933 0.009121 0 0 0.203135 0.381305 0.285522 0.0602216 0.189256 0.11398 0.0769983 0.0181862 0.016696 0.015077 0 0
602.676 2.77731 265.02 237.378 1.08612 1.35853 0.2 0.7 1.3 1.8 2.3 3.1 4 4.9 3.4 4 0 0 0.0998315 0.333478 0.336981 0.0766327 0.154622 0.0288129 0.0557615 6.62824e-11 0.011933 0.009121 0 0 0.126092 0.31885 0.316867 0.167736 0.176577 0.142045 0.088013 0.0223498 0.016696 0.015077 0 0
605.19 2.7889 265.994 238.352 1.08728 1.34491 0.2 0.8 1.3 1.8 2.4 3.2 4 4.8 3.4 4 0 0 0.119584 0.380278 0.23137 0.149803 0.126552 0.0278096 0.0518841 2.51811e-09 0.011933 0.009121 0 0 0.147207 0.354377 0.228732 0.220811 0.171822 0.118675 0.073969 0.0293219 0.016696 0.015077 0 0
606.796 2.79629 266.614 238.972 1.0887 1.31032 0.3 0.9 1.6 2.1 2.7 3.6 4.5 5.3 3.4 4 0 0 0.197179 0.349097 0.373579 2.71682e-08 0.10275 0.0512413 0.0148488 3.57142e-09 0.011933 0.009121 0 0 0.201992 0.382541 0.313519 0.107545 0.158175 0.092448 0.0508418 0.00325534 0.016696 0.015077 0 0
606.547 2.79515 266.518 238.876 1.09088 1.24577 0.3 0.8 1.3 2 2.6 3.5 4.5 3.9 3.4 4 0 0 0.161278 0.300663 0.310047 0.164 0.0891832 0.0137537 3.08091e-08 0.0519544 0.011933 0.009121 0 0 0.199547 0.243938 0.336788 0.210498 0.12035 0.0935719 0.0410747 4.14287e-07 0.016696 0.015077 0 0
609.08 2.80682 267.494 239.851 1.08789 1.40775 0.3 0.6 1.3 1.9 2.5 3.4 4.3 5.2 3.4 4 0 0 0.088297 0.300511 0.407254 0.0896411 0.126799 0.0338649 0.0415201 1.16573e-15 0.011933 0.009121 0 0 0.143813 0.249239 0.418735 0.16837 0.210239 0.136852 0.0750854 0.00541413 0.016696 0.015077 0 0
601.653 2.7726 264.623 236.98 1.09013 1.3209 0.3 0.7 1.3 1.9 2.5 3.3 4.1 4.7 3.4 4 0 0 0.13268 0.289761 0.353747 0.121023 0.118969 0.0242919 0.0496614 1.81188e-12 0.011933 0.009121 0 0 0.175984 0.24361 0.365011 0.190121 0.164486 0.106535 0.0614824 0.0136685 0.016696 0.015077 0 0
605.342 2.7896 266.053 238.411 1.09708 1.30296 0.3 0.8 1.4 1.8 2.5 3.4 4.2 4.7 3.4 4 0 0 0.150129 0.356409 0.266574 0.113729 0.134755 0.0232734 0.0522141 6.71685e-15 0.011933 0.009121 0 0 0.18918 0.306634 0.289761 0.165351 0.195246 0.10504 0.0517437 8.87411e-11 0.016696 0.015077 0 0
605.994 2.7926 266.305 238.663 1.08882 1.36376 0.3 0.8 1.3 2 2.8 3.5 4.2 4.9 3.4 4 0 0 0.155823 0.315222 0.292757 0.1846 0.0831223 0.0125105 0.0447898 1.94345e-13 0.011933 0.009121 0 0 0.197375 0.261981 0.323045 0.271824 0.148289 0.0831002 0.066524 0.0116225 0.016696 0.015077 0 0
601.234 2.77067 264.46 236.817 1.09107 1.33058 0.3 0.8 1.4 1.9 2.4 3.2 4.1 5 3.4 4 0 0 0.153055 0.342 0.313923 0.0625178 0.135821 0.0341771 0.0495779 3.01814e-12 0.011933 0.009121 0 0 0.191291 0.298027 0.328876 0.130048 0.172644 0.118816 0.0761969 0.0146791 0.016696 0.015077 0 0
