Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
438.628 1.85859 258.697 158.447 1.00862 0.992327 0.2 0.6 0.9 1.3 1.5 1.9 2.5 3.2 3.9 4.4 5.2 0 0.0558399 0.199235 0.151476 0.219514 0.0651801 0.155883 0.101262 0.0449685 0.00873108 0.00653393 4.82947e-15 0 0.105213 0.127554 0.185139 0.193512 0.074089 0.135977 0.115543 0.0284984 0.0253318 4.73212e-11 0.00147067 0
515.57 2.18462 300.558 200.307 1.01368 1.00438 0.2 0.5 0.7 1.1 1.4 1.8 2.3 3.1 3.6 4.1 5.2 0 0.116672 0.00182829 0.155382 0.214514 0.18166 0.175326 0.0596948 0.0850624 0.0126632 1.03867e-12 0.0108822 0 0.0894744 0.0603278 0.181319 0.17524 0.141923 0.158878 0.1122 0.0773628 2.78558e-11 0.00765354 3.55058e-10 0
457.794 1.93981 269.775 169.524 1.00754 1.26703 0.3 0.7 0.8 1.2 1.6 2 2.6 3.3 4.1 4.7 5.8 0 0.100602 0.180185 0.0769463 0.23038 0.154605 0.120973 0.0945293 0.037749 0.00929035 0.00228108 6.01741e-14 0 0.157507 0.000902869 0.231807 0.190285 0.156215 0.156413 0.108975 0.10735 0.0562054 0.0633465 0.0380256 0
441.702 1.87162 260.506 160.256 1.00868 1.07765 0.3 0.7 0.9 1.4 1.9 2.1 2.7 3.4 4.4 3.5 5.8 0 0.101423 0.17649 0.152078 0.286369 0.055344 0.114335 0.0793386 0.0195423 0.00857964 0.015175 6.90981e-12 0 0.159864 0.036061 0.276644 0.189379 0.196005 0.0136532 0.10747 0.0176662 0.0336242 0.0342874 0.0129963 0
447.912 1.89793 264.123 163.872 1.0084 1.06672 0.0001 0.6 0.7 1.3 1.8 2.1 2.7 3.4 4 4.4 5.2 0 0.0393782 0.144909 0.17405 0.324726 0.0817928 0.122654 0.0772121 0.0337615 0.00238747 0.00753231 3.9409e-10 0 0.0688996 0.166263 0.112174 0.351973 0.0234371 0.16182 0.0903708 0.0282513 0.0458946 1.82422e-10 0.0176359 0
440.018 1.86448 259.517 159.267 1.00865 0.99876 -0.0999 0.6 0.9 1.1 1.5 2 2.6 3.3 3.9 4.3 4.9 0 0.0396304 0.252796 0.0138003 0.223516 0.196385 0.141459 0.089567 0.0397252 0.00154615 0.0102262 5.72101e-10 0 0.0754576 0.217008 1.73635e-09 0.244435 0.175913 0.132242 0.104504 0.0208388 0.0276848 2.33172e-11 0.000676906 0
439.205 1.86104 259.038 158.788 1.00828 1.04538 0.2 0.5 0.7 1.2 1.4 1.8 2.4 3.1 3.8 4.5 5 0 0.0558199 0.0502527 0.240721 0.219535 0.0891524 0.168629 0.114095 0.0503437 0.0149358 0.00479442 4.38538e-15 0 0.0884119 0.0613876 0.189526 0.275877 3.92514e-11 0.210848 0.102646 0.068885 0.0236563 0.0241463 4.86888e-13 0
449.46 1.90449 265.016 164.766 1.00897 0.994724 -0.0999 0.6 0.8 1.3 1.4 2 2.7 3.4 4.3 4.7 5.8 0 0.0423766 0.204052 0.128871 0.232572 0.093768 0.179268 0.0848683 0.0326772 0.0105188 6.96554e-12 1.34148e-12 0 0.0678406 0.209797 0.0928282 0.282233 0.0266147 0.191416 0.0751537 0.0283622 0.0114201 2.32259e-13 0.00905746 0
449.459 1.90449 265.015 164.765 1.00897 0.99443 -0.0999 0.6 0.8 1.3 1.4 2 2.7 3.4 4.3 4.4 5.8 0 0.0423713 0.204114 0.12877 0.232885 0.0934674 0.179311 0.084858 0.0326797 0.0105139 4.31638e-06 2.2371e-14 0 0.0678416 0.209772 0.0928637 0.282066 0.0267606 0.191353 0.0750934 0.028274 0.0113492 4.03508e-11 0.0090571 0
444.161 1.88204 261.944 161.694 1.00825 1.04303 0.0001 0.6 0.9 1.3 1.4 2 2.6 3.3 3.8 4.3 5.3 0 0.0373249 0.239484 0.1242 0.127188 0.181792 0.161837 0.0846149 0.0393619 0.00457402 0.00787025 2.3081e-12 0 0.0692922 0.213192 0.103726 0.223392 0.0862341 0.156082 0.10702 0.0169188 0.0361313 0.0132774 0.0177612 0
