Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
438.697 1.87477 269.852 160.488 1.00831 0.993907 0.2 0.5 0.7 1 1.4 1.5 2 2.4 3 3.5 4.3 4.7 0.0471055 0.114529 0.108693 0.223808 3.72549e-09 0.250473 0.0951818 0.0930569 0.045188 0.0219395 0.00833618 2.58807e-11 0.0811969 0.11599 0.0687934 0.234132 1.90716e-09 0.211873 0.13227 0.0611417 0.0583262 0.0132845 0.0168992 1.91963e-11
436.251 1.86432 268.404 159.04 1.00848 0.9982 0.0001 0.4 0.7 1.1 1.4 1.7 2.4 2.9 3.2 3.8 4.3 4.4 0.0165035 0.113218 0.17122 0.254207 0.0387581 0.221016 0.127321 0.00424374 0.047055 0.00638417 0.00855089 4.66294e-15 0.0488051 0.110863 0.130551 0.271574 0.0305142 0.2029 0.130935 0.0264805 0.014974 0.0272623 0.00334104 2.10337e-12
436.126 1.86378 268.329 158.966 1.0084 1.02985 0.0001 0.3 0.7 1.2 1.5 1.9 2.3 2.9 3.5 4.4 3.6 4.3 0.0151481 0.0653209 0.276685 0.198035 0.164908 0.0946743 0.104714 0.055421 0.0212152 0.00744659 0.00483617 2.51405e-10 0.0261029 0.09385 0.232053 0.227129 0.0961331 0.1536 0.0740948 0.0721475 0.0154433 0.0233743 0.0159227 5.7561e-08
432.671 1.84902 266.269 156.905 1.00851 1.01635 -0.0999 0.5 0.7 1.2 1.4 2 2.4 2.8 3.4 3.8 4.3 5 0.0418765 0.0579269 0.263425 0.120592 0.229137 0.150683 0.0476917 0.0559817 0.0301691 0.00150641 0.00952285 3.44724e-14 0.0714876 0.0895053 0.171454 0.224094 0.134935 0.163201 0.0396708 0.0782907 5.00811e-12 0.0394884 0.000831699 0.00339285
436.971 1.8674 268.831 159.467 1.00815 1.00569 -0.0999 0.4 0.7 1 1.3 1.7 2.3 2.8 3.3 3.6 4.2 4.3 0.0222497 0.0996419 0.176961 0.147259 0.170058 0.185344 0.118189 0.0405712 0.034789 0.00280808 0.010279 4.59053e-09 0.058467 0.094727 0.128637 0.172334 0.160014 0.168649 0.119691 0.0590136 7.20603e-10 0.0309755 0.0131801 3.21965e-15
438.215 1.87271 269.567 160.203 1.00846 1.00215 0.2 0.5 0.9 1.4 1.8 2 2.4 3 3.4 4 4.4 5 0.0430473 0.149828 0.260345 0.23202 0.110121 0.0341114 0.106282 0.0373862 0.0240292 0.00530591 0.00598248 9.15934e-15 0.080642 0.128745 0.243235 0.222776 0.0609883 0.104817 0.0687137 0.0579322 0.0111674 0.0142781 0.00885677 2.54241e-14
434.144 1.85531 267.15 157.786 1.00836 1.04623 0.1 0.5 0.9 1.2 1.5 2 2.4 2.9 3.4 3.9 4.3 5 0.0299945 0.172002 0.23451 0.0732399 0.230634 0.103298 0.0840989 0.0413557 0.0286302 0.00107579 0.00951988 1.43719e-10 0.0642669 0.161344 0.162073 0.173489 0.15425 0.12142 0.0834964 0.0632653 0.00601445 0.0460843 1.37215e-09 0.010522
436.167 1.86396 268.354 158.99 1.0086 1.02026 0.0001 0.6 0.9 1.2 1.5 1.6 2.1 2.7 3.4 3.7 4.3 4.4 0.0364314 0.251716 0.0718204 0.213108 0.0649802 0.112197 0.138418 0.0752124 0.0351497 1.37982e-09 0.00498819 0.00457627 0.0688813 0.22592 0.0482849 0.250511 0.022893 0.120097 0.136839 0.0951511 0.00748729 0.034424 0.00976751 1.68626e-08
711.454 3.0404 395.079 285.715 1.01281 1.00824 0.2 0.4 0.7 1.1 1.3 1.7 2.2 2.6 2.8 3.6 4 4.8 0.0786328 0.060716 0.0829315 0.389098 1.70623e-11 0.203634 0.00759867 0.156626 3.12583e-13 0 0.0335773 4.00568e-13 0.0742748 0.0637949 0.187245 0.18316 0.0967178 0.169897 0.120805 0.0150532 0.0586485 0.0292725 0.00937092 2.31815e-13
433.788 1.85379 266.937 157.573 1.00839 1.03749 0.1 0.4 0.7 1.2 1.4 1.9 2.1 2.7 3.3 3.9 4.4 5 0.038087 0.040249 0.291015 0.101304 0.245903 0.0435526 0.130554 0.0700756 0.0336276 0.00766732 0.00635216 2.23876e-13 0.0627059 0.0722395 0.199832 0.22786 0.123564 0.0841489 0.1037 0.0952092 0.0176365 0.041782 3.61737e-09 0.00881415
437.455 1.86947 269.118 159.754 1.0083 1.0039 0.2 0.4 0.7 1.1 1.5 1.8 2.2 2.8 3.3 3.6 4.3 4.9 0.0466027 0.050201 0.236653 0.177846 0.223414 0.0403822 0.133346 0.0577208 0.0211141 0.0132978 0.00771977 1.2268e-13 0.0731097 0.0710612 0.173394 0.220694 0.130571 0.115671 0.105761 0.060191 0.0292515 0.00598145 0.0182118 1.14353e-14
441.103 1.88506 271.268 161.905 1.00861 1.00716 0.2 0.5 0.8 1.3 1.8 2.2 2.5 3.1 3.6 4.1 4.5 4.6 0.0486305 0.114023 0.228137 0.266957 0.15806 0.0469008 0.0809672 0.0390025 0.018834 0.000728104 0.00637252 4.0106e-10 0.0865325 0.092847 0.217078 0.246379 0.149286 0.0837095 0.0416351 0.0647879 1.19489e-11 0.0202223 0.00468808 9.64999e-11
439.43 1.87791 270.284 160.92 1.00839 0.998349 0.2 0.6 0.7 1.2 1.7 2.1 2.3 2.9 3.4 4.1 4.4 4.5 0.0580276 0.116143 0.161826 0.272476 0.19251 2.0625e-11 0.121943 0.0477498 0.0273345 0.00529073 0.00509445 6.41709e-14 0.093565 0.0932587 0.154922 0.260321 0.159669 0.0815686 0.0525972 0.0622743 0.0205783 0.0100484 0.00954673 1.06415e-13
697.924 2.98258 390.106 280.742 1.01266 1.01401 0.1 0.4 0.8 1.1 1.4 1.7 2.2 2.6 3.1 3.4 4 4.1 0.0454779 0.117865 0.0675483 0.378593 2.61163e-07 0.207059 0.00581245 0.156525 2.16704e-11 8.04046e-11 0.022827 0.010948 0.056245 0.112584 0.184528 0.149845 0.13494 0.143669 0.0977294 0.0640676 0.0449598 0.00512372 0.000759129 0.019562
438.257 1.87289 269.592 160.228 1.00809 0.99448 0.3 0.7 0.8 1.1 1.5 1.9 2.2 2.7 3.2 3.5 4.2 4.4 0.101225 0.165418 0.0859984 0.152854 0.23542 0.0481276 0.110981 0.0572486 0.0250826 0.0168816 0.00885375 3.78922e-09 0.156443 0.00174269 0.213845 0.139869 0.188953 0.096156 0.0849163 0.0521662 0.0404252 0.00213403 0.0178286 1.15125e-12
435.895 1.8628 268.193 158.829 1.00836 1.03809 0.3 0.7 0.9 1.1 1.5 1.9 2.2 2.8 3.3 3.9 4.4 5 0.101694 0.180613 0.117275 0.0877839 0.269233 0.0127111 0.141372 0.0524728 0.0309271 0.00812878 0.00614755 4.22495e-13 0.171915 6.22352e-11 0.269787 0.0570697 0.240693 0.0173747 0.142305 0.0739099 0.0133208 0.0425984 3.00118e-11 0.00911928
507.155 2.16733 307.409 198.045 1.01388 1.00622 0.1 0.4 0.7 1.2 1.5 1.9 2.1 2.9 3.4 4.5 4.1 5.2 0.0782074 0.0397427 0.178399 0.279228 0.136717 0.134597 0.0427623 0.0702452 0.0436345 4.996e-16 2.22045e-16 0.010349 0.0583285 0.0639525 0.238771 0.18835 0.163571 0.0269018 0.15926 0.0741067 0.0262021 0.0064916 3.80948e-10 0.000288016
500.652 2.13954 304.066 194.702 1.01298 1.10475 0.2 0.3 0.9 1 1.5 1.8 2.3 2.8 3.3 3.8 3.9 5.1 0.0335814 0.131317 0.0285924 0.30985 0.192101 0.152997 0.0460599 0.0448267 0.0639929 0 1.11022e-16 0.00965968 0.0208558 0.144123 0.299518 0.0249432 0.24819 0.0518323 0.14244 0.0606564 0.0305375 0.0157605 0.0340679 0.0318262
502.914 2.14921 305.234 195.87 1.0137 1.03087 0.2 0.5 0.7 1.1 1.5 1.7 2.2 2.8 3.3 4.2 4.6 5.2 0.107759 0.0565702 0.0705374 0.325892 0.0393289 0.23139 0.0593387 0.0499116 0.0620336 7.59948e-14 4.08451e-13 0.0109388 0.0829197 0.101067 0.119148 0.256184 0.0456419 0.181386 0.118174 0.0582957 0.0502468 0.00860338 0.00697617 0.00222484
503.58 2.15205 305.577 196.213 1.01367 1.00602 0.2 0.5 0.7 1 1.4 1.8 2.2 2.8 3.3 3.4 4.6 5.2 0.106861 0.0696916 0.0241804 0.266232 0.202362 0.1757 0.0433447 0.0548972 0.0495835 0.0104774 2.22045e-16 0.0103433 0.0826428 0.108497 0.0874021 0.203805 0.172515 0.140812 0.101805 0.058154 0.0429414 4.41461e-11 0.00744997 1.46232e-08
506.202 2.16326 306.922 197.558 1.01326 1.1006 0.1 0.5 0.9 1.1 1.6 2 2.4 2.9 3.4 3.9 4.5 5.1 0.0732387 0.134642 0.0448938 0.297147 0.225733 0.100693 0.018549 0.0622056 0.0470257 9.03577e-12 4.01699e-11 0.00913094 0.0658472 0.160181 0.117465 0.210764 0.216417 0.051183 0.12878 0.0470252 0.0313049 0.0409956 2.92282e-10 0.0306401
503.288 2.1508 305.427 196.063 1.01361 1.00195 0.2 0.4 0.8 1 1.5 1.8 2.1 2.8 3.3 3.4 4.6 5.2 0.0914017 0.0766857 0.0258897 0.298816 0.230496 0.0896756 0.0747569 0.0553801 0.0526616 0.00750918 4.996e-16 0.0103365 0.0610588 0.115112 0.146565 0.168082 0.232991 0.0145304 0.154036 0.0624388 0.0401308 8.1466e-05 0.00692272 1.05375e-09
510.973 2.18365 309.352 199.988 1.01338 0.986491 0.2 0.3 0.7 0.9 1.3 1.6 2 2.4 3.1 3.5 4.6 5.2 0.0633945 0.0871741 2.20658e-08 0.26258 0.170865 0.191045 0.0933701 0.0395766 0.0786114 0.0165208 1.48093e-12 0.0102438 0.0723503 0.042207 0.220766 0.0619656 0.227938 0.085865 0.141897 0.0598837 0.069961 1.45186e-09 0.0036573 4.73788e-13
510.815 2.18297 309.272 199.908 1.01395 0.999633 0.2 0.5 0.8 1.2 1.6 2 2.2 3 3.5 4.1 4.5 5.2 0.1139 0.0333684 0.177746 0.248225 0.201906 0.076681 0.0452647 0.0780303 0.0287003 8.88178e-16 2.22045e-16 0.0101294 0.0859738 0.0995536 0.19732 0.180504 0.186822 0.0331638 0.124703 0.0747983 0.0126598 9.50678e-10 0.0041345 1.80024e-08
437.376 1.86913 269.071 159.707 1.00838 1.0395 0.3 0.7 0.9 1.2 1.5 2.1 2.5 3 3.5 3.9 4.3 5.2 0.101609 0.177028 0.14114 0.08486 0.246482 0.123844 0.0609499 0.0412792 0.0220796 3.09201e-10 0.00910703 1.29369e-12 0.170862 1.86863e-11 0.284219 0.0539511 0.228353 0.117272 0.0813689 0.0443453 7.58288e-08 0.0468587 3.95906e-13 0.0122668
503.807 2.15302 305.693 196.329 1.01379 1.00976 0.2 0.4 0.7 1.1 1.5 1.9 2.2 2.8 3.3 3.4 4.5 5.2 0.110128 0.0190772 0.130258 0.264052 0.196916 0.142471 0.0234393 0.0578447 0.0464445 0.0125882 2.22045e-16 0.010568 0.0774184 0.0610225 0.187631 0.20162 0.17085 0.110468 0.0881839 0.0604454 0.0437734 1.70183e-08 0.00834662 1.85732e-07
502.9 2.14915 305.227 195.863 1.0139 1.03522 0.2 0.5 0.7 1.1 1.2 1.7 2.1 2.7 3.3 4.2 4.6 5.2 0.107761 0.0547035 0.0770334 0.266769 0.0772447 0.244534 0.0506826 0.0577887 0.06654 6.81122e-14 4.16056e-13 0.0108461 0.0874646 0.0702783 0.174471 0.0589776 0.20986 0.166883 0.120276 0.0721842 0.0561306 0.00762526 0.00889398 0.002176
439.727 1.87918 270.46 161.096 1.00815 1.06144 0.3 0.7 0.9 1.4 1.5 1.8 2.2 2.6 3.2 4 4.4 5.1 0.102095 0.169682 0.163751 0.265343 1.11911e-06 0.0881158 0.103336 0.0555542 0.046155 0.00965583 0.00446175 1.49949e-10 0.171465 1.80321e-10 0.28873 0.226149 1.36049e-08 0.0928013 0.0987753 0.0794859 0.0430574 0.0468191 3.36868e-09 0.0141546
739.465 3.16011 405.08 295.717 1.01296 1.02386 -0.1999 0.6 0.7 1.2 1.6 1.8 2.4 2.7 3.1 4.1 4.2 4.6 0.101353 1.56297e-12 0.181178 0.382025 1.14464e-13 0.162707 0.0312965 0.125551 1.67644e-14 0.0288531 2.17781e-11 4.54081e-13 0.0960713 0.13803 0.0902637 0.293743 0.0135017 0.203664 0.0595761 0.058331 0.0425663 0.0221232 0.00439072 0.00160059
706.584 3.01959 393.3 283.936 1.0119 1.06256 0.0001 0.3 0.8 1.1 1.5 1.7 2.2 2.6 3.3 4 4.8 4.8 0.00902707 0.137652 0.0934365 0.368081 1.59332e-10 0.209803 0.00359454 0.15811 3.52618e-12 0.0321949 4.00119e-12 2.59043e-12 0.00944738 0.148745 0.203743 0.158104 0.128121 0.158901 0.048165 0.119784 0.0382056 0.0332294 0.0161121 4.77396e-12
505.323 2.1595 306.472 197.108 1.01322 1.10279 0.2 0.3 0.8 1.1 1.6 2.1 2.4 2.9 3.4 3.9 4.6 5.1 0.0646474 0.0837622 0.129973 0.258237 0.258028 0.0964552 0.00167932 0.0649913 0.0462753 1.45642e-11 6.99624e-12 0.00917507 0.0364248 0.118567 0.192124 0.199006 0.235738 0.045496 0.123472 0.0475385 0.0313756 0.0419039 8.73414e-09 0.0311465
437.736 1.87067 269.284 159.92 1.00821 1.04851 0.0001 0.5 0.7 1.1 1.4 1.7 2.3 2.5 3.1 3.6 4.4 4.6 0.0297564 0.133905 0.141866 0.228488 0.0842477 0.185091 0.0991667 0.0361467 0.0475087 0.0140891 0.00794555 1.02191e-11 0.0531669 0.149513 0.099019 0.263223 7.31532e-12 0.242045 0.0749092 0.0530882 0.0571782 0.0261898 0.0301764 1.89473e-11
510.871 2.18321 309.299 199.936 1.01395 1.00157 0.2 0.5 0.9 1.3 1.6 2 2.2 3 3.5 4.1 4.5 5.2 0.110578 0.0562349 0.232428 0.199185 0.171413 0.0853774 0.0417158 0.0782484 0.0286056 7.15539e-14 5.60108e-14 0.0101611 0.0813602 0.129088 0.239576 0.120077 0.182413 0.0274446 0.129058 0.0745907 0.0133989 2.67529e-10 0.00448795 7.39052e-05
508.003 2.17095 307.842 198.478 1.01361 0.982339 -0.1999 0.5 0.7 1 1.4 1.6 2.1 2.6 3.1 3.5 4 5.2 0.105888 0.0795346 1.00964e-10 0.306583 0.0707177 0.2311 0.0946538 0.0235584 0.0720321 0.0193325 1.09357e-14 0.0102099 0.0864831 0.085108 0.121845 0.184575 0.136994 0.121686 0.148293 0.0339485 0.0614766 0.00151889 0.000410591 2.67009e-13
503.748 2.15277 305.663 196.299 1.01288 1.12564 -0.0999 0.4 0.8 1.2 1.3 1.8 2.2 2.7 3.3 3.9 4.6 5.1 0.0641016 0.0960256 0.144576 0.2723 0.054845 0.233021 0.0113263 0.0614043 0.0657324 2.34263e-12 7.00329e-13 0.00954429 0.052159 0.11996 0.198991 0.0825616 0.213215 0.127195 0.109064 0.0934691 0.03733 0.0553487 1.34674e-10 0.036351
512.277 2.18922 310.012 200.648 1.01317 0.983505 0.1 0.4 0.8 1 1.5 1.9 2 2.6 3.2 3.5 3.5 5.1 0.0572706 0.122297 1.0828e-09 0.315746 0.23414 0.12308 0.0210914 0.0502596 0.0720466 0.006882 9.02766e-06 0.0103503 0.0434167 0.132557 0.141082 0.182174 0.204247 0.0431131 0.11654 0.0705211 0.0498538 7.92894e-11 7.92894e-11 1.73178e-12
512.22 2.18897 309.983 200.619 1.01397 0.991978 -0.1999 0.3 0.7 1.1 1.4 1.5 2 2.4 3 3.5 4.2 5.2 0.117147 5.68901e-10 0.155568 0.232842 3.78775e-12 0.241897 0.136964 0.0129463 0.0779177 0.0284837 2.9251e-12 0.0102071 0.0843385 0.0231135 0.253713 0.0938822 0.241368 4.00721e-08 0.168696 0.0443057 0.0702602 0.0114952 0.000806208 3.56057e-08
503.637 2.1523 305.606 196.242 1.01352 1.00327 0.2 0.4 0.7 1 1.4 1.6 2.1 2.7 3.2 3.4 4.5 5.2 0.0883315 0.0848833 1.4219e-11 0.333524 0.0305553 0.261926 0.0875119 0.0412274 0.0585789 0.0163153 1.43219e-14 0.0106693 0.0676181 0.0911979 0.122022 0.212582 0.0971435 0.152245 0.145314 0.0523127 0.0491815 0.00576714 0.00788848 1.54062e-09
