Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  R[12]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q12ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m    Q12m
434.632 1.87342 206.316 160.077 1.00853 1.03519 0.1 0.3 0.7 1.2 1.4 1.9 2.4 2.9 3.4 3.9 4.4 5.9 3.7 0.0200392 0.0582824 0.282796 0.149789 0.182453 0.144745 0.0897689 0.041595 0.0270566 0.0051928 0.00681619 6.00964e-13 2.11609e-12 0.0319621 0.0869107 0.234933 0.202025 0.102477 0.18696 0.0631845 0.0576604 0.0310995 0.00120356 0.0237334 0.0130425 0
440.895 1.90041 210.021 163.783 1.00837 1.0203 0.0001 0.4 0.7 1.2 1.3 1.8 2.4 3.1 3.7 4.3 4.5 5.2 5.8 0.0269558 0.0700859 0.253971 0.138741 0.159088 0.17658 0.112532 0.0493166 0.014885 0.00189471 0.00432456 0 3.6931e-12 0.0425336 0.103829 0.191217 0.277197 1.30477e-11 0.208114 0.099796 0.0631434 0.0128712 0.0144775 0.00712169 2.38698e-15 0
438.945 1.892 208.873 162.634 1.00831 1.10435 0.1 0.6 1 1.4 1.8 2.2 2.8 3.5 3.7 4.4 5.2 5.3 6 0.0404891 0.243723 0.172518 0.239086 0.089325 0.119673 0.0656781 0.0300126 6.21336e-13 0.00780805 7.55507e-13 7.46514e-13 2.00395e-14 0.0771088 0.204789 0.177424 0.242003 0.0692563 0.138705 0.093957 1.1558e-12 0.0598804 0.0260457 0.00985477 0.00532393 0
437.289 1.88487 207.894 161.656 1.00837 1.04791 0.2 0.6 1 1.5 1.8 2.2 2.7 3.3 4 4.4 4.3 6 4.1 0.0553244 0.20952 0.227217 0.251683 0.0317697 0.127267 0.0538659 0.0397501 0.00626519 0.00570927 4.12949e-09 2.27607e-12 4.26364e-11 0.0931568 0.174696 0.237524 0.180321 0.10835 0.0945619 0.0641547 0.0537366 6.21669e-12 0.0280264 3.61412e-11 0.0133836 0
447.449 1.92866 213.843 167.604 1.00868 0.948894 0.1 0.5 0.9 1.3 1.5 2 2.5 3.2 3.8 4.4 4.6 5.3 5.9 0.0304226 0.169737 0.24621 0.0925332 0.194951 0.121359 0.0920985 0.0462616 0.00858413 0.00652239 1.96787e-13 3.33067e-16 1.5854e-13 0.0679919 0.141545 0.221752 0.131524 0.147472 0.111516 0.0939915 0.0195221 0.0135796 5.53815e-11 3.58602e-14 3.60822e-15 0
727.993 3.1379 339.906 293.667 1.01174 1.00206 0.1 0.3 0.8 1.1 1.5 1.7 2.6 2.8 3.7 4 4.7 5.2 5.8 0.0111303 0.13536 0.0939181 0.367472 4.27436e-15 0.212409 0.160548 1.16573e-15 3.33067e-16 0.0308971 0 0 3.09919e-13 5.22915e-14 0.167724 0.155536 0.230223 0.00651682 0.251004 0.132614 9.4369e-15 0.0381543 0.000578917 0.0197086 3.44169e-15 0
439.032 1.89238 208.925 162.686 1.00836 0.997202 0.0001 0.5 0.6 1.1 1.4 1.8 2.4 3.1 3.6 4.2 4.5 5.4 5.8 0.0353613 0.00230402 0.261565 0.219627 0.14118 0.163353 0.115661 0.0467876 0.0141936 0.00558887 0.00273487 9.01018e-12 8.67534e-12 0.0506676 0.125365 0.108869 0.269756 0.061921 0.202818 0.0962739 0.0572343 0.00515882 0.0152839 0.00385441 1.69613e-11 0
434.841 1.87431 206.44 160.201 1.00831 1.04693 0.1 0.4 0.7 1.1 1.3 1.8 2.3 2.8 3.3 3.9 4.4 5 5.6 0.0344392 0.0528614 0.272449 0.0286909 0.275632 0.146869 0.105519 0.0453186 0.0325053 0.00785449 0.00617703 4.52416e-14 1.59195e-12 0.0567612 0.0943767 0.159727 0.157243 0.181669 0.148746 0.108867 0.0677027 0.0160025 0.0450599 7.64389e-14 0.010772 0
453.417 1.95438 217.275 171.036 1.01888 0.99878 0.1 0.3 0.8 1.4 1.5 2.2 2.8 3.1 3.7 3.9 4.5 5.2 7.7 1.75648e-12 0.108396 0.327958 0.124155 0.2005 0.153547 0.0375012 0.0329592 0.0177407 2.4508e-11 0.00204838 2.43805e-13 0.0140775 0.0295818 0.112025 0.269939 0.304728 0.0151024 0.167861 0.0418613 0.0237306 1.51308e-10 0.0303888 2.44915e-09 0.00356169 0
4012.95 17.2972 782.016 735.778 1.02195 2.53866 0.0001 0.6 1 1.3 1.7 2 2.3 3.1 3.6 4 4.6 4.9 6.1 0.0378853 0.256923 0.137778 0.195785 0.161956 6.19797e-10 0.121525 0.0717662 0.00430661 1.60094e-12 1.23884e-12 4.98895e-12 0.0340287 0.0350215 0.148478 0.201105 0.265476 0.393638 0.0648629 0.183828 0.0953628 0.293857 0.351473 0.447774 0.0577834 0
