Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
601.476 2.82383 330.018 240.911 1.08817 1.32475 0.4 0.6 0.8 1.2 1.6 2.1 2.6 3.2 4 4.7 0 0 0.193129 0.127256 0.0537194 0.315723 0.147924 0.0851199 0.101251 0.00680914 0.0572408 3.42611e-10 0 0 0.300414 1.33247e-05 0.0497711 0.382996 0.102841 0.207074 0.0844513 0.10715 0.0694561 0.0205836 0 0
18028.4 84.6403 1125.69 1036.59 1.53406 2.0138 -0.1999 0.8 0.9 0.9 1.7 1.9 2.7 2.9 3.6 4.1 0 0 3.88578e-16 0 0 0 2.10942e-15 0.764535 0.769529 7.63833e-14 3.88578e-16 0 0 0 0.190876 1.49991e-13 0.661362 0.0566489 0.494104 0.205718 0.405093 1.11022e-16 2.22045e-16 5.55112e-17 0 0
17960.2 84.3202 1124.81 1035.7 1.51547 1.95394 0.3 0.8 0.9 0.9 1.5 1.9 2.6 2.7 3.5 4 0 0 0 1.11022e-16 1.11022e-16 1.11022e-16 1.11022e-16 0.760135 0.111489 0.643845 2.22045e-16 2.22045e-16 0 0 0.251861 3.53441e-10 0.494193 0.0715183 0.419182 0.334282 0.272726 0.110182 1.66533e-16 5.55112e-17 0 0
602.462 2.82846 330.401 241.295 1.09681 1.27363 0.3 0.9 0.6 1.2 1.1 1.9 2.4 3 3.5 4.1 0 0 0.131072 0.0658581 0.177991 0.349487 0.0202554 0.157544 0.0923313 0.0442491 4.05438e-08 0.0580189 0 0 0.162844 7.02323e-08 0.188782 0.398471 8.82504e-05 0.227639 0.104777 0.0998679 0.0367968 0.0543668 0 0
602.28 2.8276 330.33 241.224 1.09557 1.27896 0.3 0.5 1 1.2 1.5 2.1 2.3 3.1 3.2 4.1 0 0 0.0398621 0.29836 0.0121117 0.338759 0.137428 0.00945722 0.165924 0.0374669 0.000112381 0.0560897 0 0 0.103632 0.239702 0.00390515 0.350006 0.139238 0.122924 0.134899 0.047861 0.0754157 0.0613794 0 0
600.425 2.8189 329.609 240.502 1.08768 1.34055 0.3 0.6 0.9 1.3 1.8 2.2 2.8 3.2 4 4.9 0 0 0.135142 0.144331 0.18864 0.295638 0.0777495 0.127731 0.0581924 0.00485102 0.0554078 2.2481e-11 0 0 0.197564 0.0362947 0.291739 0.198754 0.21517 0.116679 0.105761 0.0706376 0.0859637 0.0219852 0 0
601.439 2.82366 330.003 240.897 1.08915 1.30641 0.3 0.7 0.7 1.3 1.7 2.1 2.5 3.2 4 4.6 0 0 0.12656 0.123693 0.187262 0.288944 0.15395 0.000220766 0.1415 0.00936488 0.0576579 6.09516e-09 0 0 0.176147 0.218859 0.0240766 0.357069 0.0824126 0.152138 0.107833 0.107581 0.0621755 0.0181192 0 0
602.435 2.82833 330.39 241.284 1.0968 1.27268 0.3 0.5 0.7 1.2 1.2 1.9 2.3 3 3.5 4.1 0 0 0.140445 0.0283489 0.19634 0.281614 0.104694 0.129397 0.108265 0.0502536 8.01616e-08 0.057442 0 0 0.115452 0.217142 2.8207e-05 0.361482 0.0673716 0.18849 0.126546 0.107513 0.0344966 0.0541612 0 0
601.837 2.82553 330.158 241.052 1.08807 1.31145 0.3 0.5 1 1.1 1.5 2.1 2.4 3.2 4 4.6 0 0 0.0412521 0.288139 0.0395505 0.212855 0.272022 5.44894e-06 0.160205 0.019115 0.0549226 1.41993e-10 0 0 0.115677 0.211932 0.000358184 0.282259 0.247631 0.119109 0.137918 0.114944 0.0606924 0.0209254 0 0
606.2 2.84601 331.848 242.742 1.09457 1.26665 0.2 0.5 0.8 1.2 1.5 2.1 2.4 3.1 3.3 4.3 0 0 0.0679068 0.253197 0.0165615 0.302402 0.200147 0.117659 0.00825524 0.0813303 0.0133555 0.0337577 0 0 0.0557293 0.301244 8.53775e-05 0.30447 0.190574 0.100558 0.156034 8.60155e-09 0.108935 0.0490164 0 0
601.699 2.82488 330.104 240.998 1.08936 1.30783 0.3 0.5 0.7 1.2 1.6 2.2 2.6 3.3 4 4.5 0 0 0.113904 0.0390362 0.268833 0.2143 0.236035 0.0391932 0.118783 8.60288e-06 0.0592682 4.06823e-09 0 0 0.178109 0.000207242 0.228491 0.256362 0.224662 0.148662 0.100365 0.0974131 0.0490258 0.0245324 0 0
601.174 2.82241 329.9 240.794 1.08803 1.31687 0.3 0.6 1 1.5 1.6 2.2 2.5 3.2 4 4.7 0 0 0.117665 0.203345 0.23622 0.293206 7.01849e-07 0.0598668 0.106425 0.0160445 0.0552577 9.5962e-08 0 0 0.180383 0.111785 0.31206 4.75667e-05 0.301522 0.10404 0.113857 0.105614 0.0684648 0.0190927 0 0
602.51 2.82868 330.42 241.313 1.09735 1.2712 0.2 0.5 0.9 1.1 1.5 2.1 2 2.9 3.5 4.1 0 0 0.0836248 0.150679 0.183596 0.231025 0.140322 0.182231 2.01858e-06 0.0672539 4.95175e-07 0.0586187 0 0 0.0776537 0.244348 1.68118e-05 0.314292 0.188634 0.228054 0.000262862 0.12174 0.0442069 0.0519946 0 0
602.28 2.82761 330.33 241.224 1.09624 1.27852 0.2 0.5 1 1.2 1.7 2.2 2.8 3.2 3.3 4.1 0 0 0.0780982 0.168486 0.36268 0.0621855 0.187607 0.103494 0.069772 0.00337447 0.00252023 0.0580251 0 0 0.0671792 0.274022 0.0126538 0.380372 0.13932 0.194665 0.0626761 0.0405296 0.0475194 0.0595837 0 0
601.116 2.82214 329.878 240.771 1.08852 1.31921 0.2 0.6 0.8 1.4 1.5 2.2 2.5 3.2 4 4.7 0 0 0.0800127 0.181269 0.230785 0.097689 0.273367 0.0252 0.133038 0.0100062 0.0571485 1.13687e-13 0 0 0.126998 0.0803258 0.308957 1.82943e-06 0.372808 0.131563 0.102987 0.107401 0.0688626 0.0193057 0 0
