Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
322.04 1.35311 167.559 76.4222 1.00509 1.529 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0443138 0.103773 0.218125 0.243399 0.0956142 0.170767 0.0848321 0.0289105 0.0110095 0.00434998 0 0 0.0776725 0.103368 0.218712 0.295431 0.0749712 0.303098 0.201735 0.173834 0.0801806 9.7714e-09 0 0
427.9 1.7979 241.171 150.034 1.00764 1.14353 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0444785 0.104985 0.218583 0.241887 0.0981303 0.173222 0.0873217 0.0289358 0.000194021 0.00990121 0 0 0.0727708 0.0851105 0.213883 0.242453 0.0666465 0.199809 0.107352 0.084663 0.060546 0.0102933 0 0
412.403 1.73279 231.616 140.48 1.00894 1.10104 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0439466 0.104238 0.216976 0.245039 0.0978172 0.176395 0.077833 0.0301203 0.0165784 1.34894e-10 0 0 0.073242 0.0797195 0.225329 0.231828 0.0816322 0.197911 0.112911 0.0595677 0.038902 6.31029e-12 0 0
355.848 1.49516 193.414 102.278 1.01247 1.16392 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0449232 0.108093 0.215783 0.237797 0.0927882 0.172054 0.0877158 0.0335249 0.0113882 0.00840206 0 0 0.0770205 0.0899375 0.199867 0.312099 1.41537e-08 0.226966 0.0851921 0.0908883 0.0439942 0.0379516 0 0
417.594 1.7546 234.856 143.72 1.00987 1.14014 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0444433 0.10204 0.22014 0.240479 0.101425 0.173225 0.0840166 0.0372755 0.00181455 0.00500904 0 0 0.073118 0.0832202 0.219963 0.24609 0.065101 0.206448 0.110031 0.0701306 0.0485587 0.0174777 0 0
388.615 1.63284 216.229 125.092 1.01361 1.06048 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0440981 0.116587 0.201345 0.26699 0.0728468 0.177708 0.084806 0.0300819 0.019142 2.76694e-11 0 0 0.0729928 0.0773096 0.226474 0.216867 0.0926553 0.188765 0.0985268 0.0534536 0.0334363 5.41754e-09 0 0
380.481 1.59866 210.75 119.613 1.01016 1.20183 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0446709 0.113173 0.208074 0.253826 0.0804004 0.176845 0.0885128 0.0251554 0.0195054 2.85143e-08 0 0 0.0744493 0.0894505 0.204201 0.312893 1.58258e-06 0.216502 0.101409 0.0956007 0.0708349 0.0364911 0 0
415.654 1.74645 233.65 142.514 1.00875 1.08168 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0443667 0.11 0.212875 0.252008 0.0829935 0.175438 0.0906327 0.028643 0.0117904 4.32147e-09 0 0 0.076416 0.0835298 0.204995 0.307009 1.1127e-10 0.212064 0.0737648 0.0782246 0.0287138 0.0169619 0 0
331.581 1.3932 175.121 83.9846 1.01298 1.0274 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0442802 0.112812 0.206742 0.256034 0.0801491 0.179707 0.0792796 0.032544 0.0113584 0.0100755 0 0 0.0788894 0.086947 0.19242 0.328712 1.26564e-10 0.180251 0.0998469 0.0298728 0.0304647 3.93412e-09 0 0
343.528 1.44339 184.288 93.1517 1.01094 1.0168 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0447726 0.109751 0.211653 0.261289 0.0781748 0.180928 0.0782227 0.0316675 0.0128874 0.00159022 0 0 0.0790544 0.0801778 0.196068 0.322597 8.86543e-11 0.176667 0.0956304 0.0351939 0.0239922 0.0074172 0 0
341.873 1.43644 183.038 91.901 1.01042 1.0406 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0438725 0.112474 0.207272 0.25712 0.0804123 0.178362 0.0803338 0.034077 0.0164964 4.09685e-11 0 0 0.0800538 0.0823889 0.197445 0.305236 0.0233598 0.186343 0.0988746 0.0466181 0.020286 6.50382e-10 0 0
434.575 1.82594 245.179 154.043 1.01055 0.98105 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0448353 0.11711 0.202208 0.255732 0.0798058 0.183932 0.0805004 0.0288748 0.0175559 2.64549e-09 0 0 0.0788925 0.0887189 0.188925 0.326889 2.40428e-09 0.170397 0.0854428 0.0213991 0.0203859 1.6407e-10 0 0
319.616 1.34292 165.602 74.4654 1.00852 0.995121 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0443169 0.109314 0.211498 0.253112 0.0860209 0.1792 0.0783271 0.029543 0.0171845 6.75515e-09 0 0 0.0794764 0.0793369 0.197024 0.322477 2.4906e-08 0.177753 0.0940583 0.0314716 0.0135238 8.12654e-10 0 0
378.864 1.59187 209.647 118.511 1.01126 1.03683 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0444882 0.101801 0.220208 0.248397 0.0888474 0.175997 0.0806279 0.0365066 0.0143831 1.6371e-09 0 0 0.0790793 0.0800679 0.198305 0.32354 0.00212938 0.181492 0.107075 0.0350189 0.0301215 1.70158e-12 0 0
420.451 1.7666 236.622 145.485 1.01023 0.988792 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0446717 0.108852 0.213097 0.244936 0.0925364 0.177487 0.0768642 0.0393653 1.343e-08 0.012418 0 0 0.0789701 0.0848379 0.192506 0.321436 1.7388e-10 0.180315 0.0840571 0.0309467 0.0157229 2.61607e-12 0 0
363.127 1.52574 198.659 107.523 1.00949 1.0404 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0453872 0.112265 0.211229 0.245171 0.0893817 0.178798 0.0772336 0.0302965 0.00568087 0.0140476 0 0 0.079024 0.0807729 0.198676 0.322517 0.00369398 0.1785 0.102536 0.0359353 0.0387505 4.03442e-10 0 0
392.107 1.64751 218.546 127.409 1.0111 1.05122 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0445484 0.106817 0.215279 0.249439 0.0885927 0.176977 0.0816636 0.0321178 0.0122484 0.00341742 0 0 0.080523 0.0825286 0.198245 0.31477 0.0145345 0.181365 0.0892767 0.0393313 0.0414767 0.00916801 0 0
396.675 1.6667 221.546 130.409 1.0113 1.02589 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0442296 0.112766 0.207712 0.254604 0.0812912 0.177196 0.0833543 0.0316682 0.0184796 4.31044e-13 0 0 0.0788874 0.0784688 0.200117 0.319742 0.00826161 0.177629 0.10279 0.0355894 0.0244024 5.88111e-11 0 0
418.671 1.75912 235.524 144.387 1.0069 0.977302 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0447664 0.108035 0.214674 0.252922 0.0848325 0.17951 0.0835498 0.0308586 0.00775303 2.22499e-11 0 0 0.0796886 0.0781035 0.199605 0.299896 0.0204565 0.175922 0.0848729 0.02506 0.013697 6.34493e-10 0 0
358.362 1.50572 195.238 104.101 1.01329 1.07007 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0442421 0.105967 0.215392 0.248955 0.0894134 0.176803 0.0802636 0.0308985 0.0213571 7.37632e-11 0 0 0.0791151 0.0830098 0.19662 0.328613 3.9365e-11 0.183989 0.113651 0.0435009 0.0415683 5.94414e-10 0 0
319.947 1.34432 165.87 74.7338 1.01109 1.0494 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.0443047 0.105777 0.215895 0.248347 0.0902386 0.176433 0.0809936 0.0351118 0.013987 1.0654e-11 0 0 0.0789145 0.0820343 0.196349 0.324987 2.9076e-09 0.182848 0.106771 0.0438423 0.0336499 2.33021e-10 0 0
375.93 1.57954 207.633 116.497 1.00923 1.09682 0.1 0.6 0.7 1.3 1.4 2 2.7 3.4 4.3 5.2 0 0 0.043836 0.110232 0.21095 0.245746 0.092292 0.174693 0.0803373 0.0363666 0.0147753 1.63847e-08 0 0 0.0783523 0.0856721 0.193736 0.326725 2.08469e-08 0.184917 0.116508 0.0574446 0.0534669 1.44199e-10 0 0
