Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
437.553 1.83846 246.948 155.812 1.0083 0.997294 0.1 0.4 0.8 1.1 1.3 1.8 2.5 3.3 4 4.2 0 0 0.014958 0.131615 0.233219 0.0515218 0.2094 0.196596 0.116377 0.0440468 2.23705e-08 0.0105635 0 0 0.053307 0.116885 0.183564 0.10533 0.174987 0.181641 0.127991 0.0313566 0.0222326 2.01393e-09 0 0
460.384 1.93439 260.122 168.986 1.00852 1.03075 0.1 0.6 1 1.4 1.2 2 2.7 3.4 4.3 4.2 0 0 0.0396455 0.248319 0.16158 0.261104 3.38796e-12 0.167351 0.0893115 0.0307394 0.0104709 4.05849e-10 0 0 0.0699079 0.221133 0.174377 0.222945 8.40888e-10 0.190528 0.0843991 0.0439947 0.0234692 4.8762e-08 0 0
449.204 1.88741 253.755 162.618 1.00818 0.991317 -0.0999 0.6 0.8 1.3 1.7 2.1 2.8 3.5 4.2 4.9 0 0 0.0419374 0.206689 0.124531 0.291686 0.0866976 0.143601 0.0796318 0.0246412 0.00876943 4.04121e-14 0 0 0.0686766 0.204165 0.100583 0.28639 0.0665726 0.161358 0.0699182 0.0235256 0.010129 2.4386e-13 0 0
503.329 2.11483 283.22 192.084 1.01301 0.991557 0.0001 0.3 0.7 1 1.1 1.7 2.4 3.2 3.6 5.2 0 0 0.0266999 0.121821 0.0806767 0.0115476 0.329582 0.275453 0.0710401 0.0840026 0.00185215 0.010335 0 0 0.0151965 0.122228 0.165801 0.0529228 0.20164 0.254717 0.11811 0.0609417 2.56169e-09 4.51879e-10 0 0
439.13 1.84509 247.88 156.744 1.00823 0.991774 0.1 0.6 0.8 1.2 1.3 1.8 2.5 3.3 4 4.2 0 0 0.0393915 0.244508 0.0452197 0.268807 0.0348547 0.205814 0.114894 0.0442585 0.000680029 0.00979891 0 0 0.0753645 0.210254 0.0344786 0.307217 3.26856e-08 0.186893 0.125746 0.0299642 0.0218564 5.43366e-11 0 0
451.975 1.89906 255.348 164.211 1.00825 0.983976 -0.0999 0.6 1 1.4 1.7 2.1 2.8 3.5 4.2 4.4 0 0 0.0399833 0.245642 0.169932 0.237675 0.0545247 0.147602 0.0792767 0.0248267 0.00879142 2.07501e-10 0 0 0.0672903 0.234052 0.145746 0.248492 0.0229945 0.169393 0.0665571 0.0214657 0.00798482 8.49289e-10 0 0
442.696 1.86007 249.975 158.838 1.00842 1.00497 0.1 0.5 0.9 1.1 1.6 1.7 2.4 3.2 4 4.6 0 0 0.0264553 0.190752 0.131787 0.206191 0.105499 0.15218 0.13122 0.0500353 0.0113687 0.00293555 0 0 0.0591543 0.186248 0.0308876 0.301808 0.038727 0.17432 0.143394 0.0446591 0.0257754 1.19862e-11 0 0
450.051 1.89097 254.243 163.106 1.00681 1.077 0.0001 0.6 0.7 1.3 1.4 2.1 2.8 3.6 3.9 5.1 0 0 0.04199 0.0818721 0.254835 0.116451 0.234575 0.170716 0.0754989 0.0253697 0.00508726 0.000415231 0 0 0.0699937 0.148948 0.13249 0.312417 0.045347 0.18574 0.0959498 0.00560876 0.0594216 0.0210886 0 0
437.756 1.83931 247.068 155.932 1.0083 0.995187 0.1 0.5 0.9 1.2 1.3 1.8 2.5 3.3 4 4.2 0 0 0.0282322 0.179574 0.21618 2.21496e-08 0.216527 0.196896 0.116264 0.04411 6.73225e-09 0.0105156 0 0 0.0657136 0.154676 0.176636 0.0990475 0.136385 0.183109 0.127055 0.0308741 0.0216898 3.5062e-09 0 0
441.81 1.85634 249.456 158.319 1.00864 0.988056 0.0001 0.6 1 1.2 1.4 2 2.6 3.2 3.8 4.5 0 0 0.0360171 0.255456 0.154862 1.0006e-07 0.267126 0.157838 0.0829038 0.0344086 0.0154603 0.00456435 0 0 0.0660105 0.245956 0.0249517 0.211733 0.143393 0.158811 0.0934363 0.0179973 0.0257678 7.39837e-09 0 0
