Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
536.694 2.25502 299.844 208.707 1.01322 1.02321 0.2 0.5 1 1.5 1.9 2.3 3.1 3.5 4.3 5.2 0 0 0.10604 0.0795477 0.304334 0.25007 0.108454 0.0585708 0.0775936 0.0189734 9.373e-12 0.00964175 0 0 0.0789206 0.149121 0.298878 0.155256 0.14787 0.0856582 0.0884016 1.28308e-12 0.016265 0.0028382 0 0
505.788 2.12516 284.483 193.346 1.01357 0.99828 0.2 0.6 1 1.4 1.8 2.3 3.1 3.5 4.7 5.2 0 0 0.11366 0.0968972 0.246381 0.221114 0.163854 0.06493 0.0771005 0.019448 1.7516e-12 0.0101884 0 0 0.0911382 0.187214 0.199509 0.181419 0.14587 0.119287 0.0734395 6.77686e-11 0.000402659 3.65249e-09 0 0
526.855 2.21368 295.052 203.915 1.01327 1.07533 0.2 0.6 1.1 1.6 1.9 2.4 3.2 4.1 4.6 5.2 0 0 0.110764 0.118312 0.330078 0.196402 0.101366 0.0574084 0.0873336 4.51013e-10 4.96825e-14 0.0116094 0 0 0.0891909 0.20352 0.272159 0.152085 0.118897 0.108758 0.0909314 0.0197292 0.0169204 0.00313669 0 0
564.76 2.37294 313.046 221.909 1.01117 1.06942 0.2 0.3 0.9 1.4 1.8 2.3 3.2 4.5 4.4 5.4 0 0 0.0667404 0.0821665 0.274878 0.272383 0.137649 0.0817732 0.0895622 1.77636e-15 3.78586e-14 0.00602209 0 0 4.63502e-09 0.164672 0.319157 0.145211 0.174539 0.098407 0.0863438 0.0419632 0.010684 0.0284392 0 0
526.383 2.21169 294.82 203.683 1.00748 1.20809 0.0001 0.6 1.2 1.8 2.1 2.5 3.2 4.1 4.8 5.6 0 0 0.0744759 0.193984 0.366235 0.227877 0.00623468 0.0518162 0.0851448 6.66134e-16 0.00171312 1.11219e-09 0 0 0.0596746 0.266026 0.303874 0.185395 0.0641636 0.086532 0.104103 0.0533748 0.0481789 0.0367657 0 0
546.422 2.29589 304.497 213.36 1.01259 1.01188 0.1 0.5 1 1.4 1.8 2.2 3.1 3.5 4.3 5.2 0 0 0.0744502 0.128607 0.253428 0.22849 0.142524 0.0767438 0.0845819 0.0141839 2.33147e-15 0.00958091 0 0 0.0552777 0.184524 0.264529 0.13373 0.147515 0.113799 0.0904236 1.92624e-14 0.0197295 0.00235278 0 0
514.563 2.16203 288.937 197.801 1.00785 1.20983 0.2 0.6 1.1 1.7 2.2 2.4 3.2 4.1 4.8 5.6 0 0 0.111689 0.114237 0.346212 0.274726 9.77942e-09 0.0728454 0.0861872 1.67784e-10 0.00138861 0.000565016 0 0 0.0895607 0.202222 0.283132 0.238138 0.0450965 0.103301 0.110566 0.0531726 0.0507645 0.0338723 0 0
564.76 2.37294 313.046 221.909 1.01118 1.06943 0.2 0.3 0.9 1.4 1.8 2.3 3.2 4.5 4.4 5.4 0 0 0.0667397 0.0821673 0.274877 0.272384 0.137647 0.0817742 0.0895613 8.81628e-12 6.02168e-12 0.00602418 0 0 2.68974e-08 0.164672 0.319158 0.145212 0.174542 0.0984103 0.0863499 0.041957 0.0106939 0.0284369 0 0
552.647 2.32205 307.431 216.294 1.00955 1.3644 0.1 0.6 1.1 1.5 2 2.5 3.1 3.9 4.7 5.5 0 0 0.0834491 0.168813 0.263151 0.229631 0.142928 0.017874 0.0919546 0.00459347 1.65368e-13 0.0071589 0 0 0.0682901 0.243345 0.231086 0.179895 0.192346 0.0802293 0.139647 0.0997361 0.0849117 0.0449124 0 0
676.16 2.84101 359.673 268.537 1.01459 1.03311 0.2 0.7 1.3 1.5 2 2.5 3.2 4.5 5.1 5.6 0 0 0.112624 0.196807 0.388488 0.0186267 0.174162 0.0196283 0.0923549 5.98244e-13 0.0119025 7.57006e-13 0 0 0.0986716 0.280714 0.246947 0.0738405 0.166841 0.0684716 0.0698046 0.0184501 7.68503e-10 0.00936555 0 0
562.328 2.36272 311.928 220.792 1.00807 0.988871 0.2 0.7 1.2 1.7 2.1 2.9 3.3 4.2 4.7 5.6 0 0 0.116093 0.17079 0.32947 0.188122 0.0938575 0.053746 0.05599 6.05072e-15 1.97453e-13 1.22465e-10 0 0 0.10087 0.254289 0.231884 0.154589 0.119232 0.0579569 0.0206474 0.00439798 0.0221968 0.0228071 0 0
520.258 2.18596 291.788 200.652 1.01306 1.10661 0.2 0.5 1 1.5 1.9 2.5 3.2 4.1 5.2 5 0 0 0.1065 0.0788556 0.30639 0.241125 0.132035 0.0531141 0.0830878 1.21014e-14 0.0119481 9.31571e-12 0 0 0.075612 0.158631 0.290282 0.167544 0.169489 0.106748 0.0838065 0.036542 0.00356714 0.0143856 0 0
524.514 2.20384 293.898 202.762 1.01372 1.0304 0.1 0.6 1.1 1.4 1.9 2.4 3.1 3.5 4.1 5.2 0 0 0.0827407 0.173304 0.226445 0.214243 0.174495 0.0342405 0.0806215 0.0161619 7.86204e-13 0.0114644 0 0 0.0664175 0.247952 0.189574 0.169846 0.171867 0.0896582 0.075397 0.00565202 0.0122961 0.00173847 0 0
531.515 2.23325 297.332 206.196 1.01303 1.05119 0.2 0.4 0.9 1.4 1.9 2.3 3.1 3.5 4.2 5.2 0 0 0.10139 0.0529414 0.262953 0.296486 0.143388 0.0480196 0.0816014 0.0161034 2.6143e-12 0.0101512 0 0 0.0601459 0.123779 0.284387 0.205191 0.16073 0.0889618 0.0960363 3.78947e-11 0.0247453 0.00721033 0 0
863.109 3.62651 422.898 331.762 1.01094 1.03504 0.3 0.9 1 1.6 2.1 2.5 3.1 3.9 4.9 5.3 0 0 0.151371 1.11688e-12 0.407796 0.230662 0.0185793 0.16177 0.00282876 0.0379361 1.51162e-12 2.35011e-09 0 0 0.176793 0.134438 0.21777 0.254609 0.054072 0.118141 0.044662 0.0345549 3.17695e-11 1.23458e-08 0 0
736.06 3.09269 381.658 290.521 1.01182 1.20125 0.1 0.6 1.1 1.5 2 2.6 3.3 4 4.1 5.4 0 0 0.0696395 0.16887 0.335683 0.162076 0.101718 0.138126 1.26762e-10 0.0357073 3.86469e-12 7.6853e-12 0 0 0.0742296 0.219537 0.251928 0.187042 0.122836 0.156637 0.0226807 0.0807524 0.0206096 0.0649987 0 0
472.457 1.98511 266.826 175.689 1.00816 1.26923 0.2 0.6 0.8 1.4 1.9 2.3 3 3.8 4.7 5.7 0 0 0.0617495 0.122623 0.228308 0.309343 0.0848978 0.117532 0.0601139 0.0189757 0.00462275 2.12768e-10 0 0 0.106961 0.0810832 0.222592 0.334276 0.052529 0.178918 0.102767 0.0969162 0.0640291 0.0291568 0 0
442.994 1.86132 250.149 159.012 1.00717 1.26611 0.2 0.6 1 1.4 1.9 2.5 3.2 4 4.7 5.7 0 0 0.0536947 0.218635 0.195305 0.223674 0.156315 0.100696 0.0441658 0.0136625 0.00102389 1.06187e-12 0 0 0.0911661 0.189554 0.198652 0.201641 0.188907 0.117459 0.105545 0.0681268 0.0651911 0.0398641 0 0
457.947 1.92415 258.747 167.611 1.008 1.1437 -0.0999 0.6 0.9 1.4 1.6 2.2 3 3.9 4.6 5.1 0 0 0.0425165 0.21698 0.169845 0.250696 0.0791561 0.160101 0.068415 0.0169346 0.00335086 5.02376e-13 0 0 0.0773599 0.192643 0.146028 0.325312 3.85625e-12 0.199345 0.100575 0.0692326 0.0175518 0.0156532 0 0
446.102 1.87438 251.96 160.824 1.00738 1.18053 0.2 0.6 0.9 1.4 1.8 2.3 3 3.7 4.5 5.5 0 0 0.0572176 0.185451 0.19288 0.263718 0.0998529 0.127935 0.0573846 0.0188439 0.00409937 1.41307e-09 0 0 0.0965765 0.142407 0.216192 0.21393 0.143332 0.128353 0.094272 0.0603644 0.0620743 0.0230241 0 0
446.102 1.87438 251.96 160.824 1.00738 1.18053 0.2 0.6 0.9 1.4 1.8 2.3 3 3.7 4.5 5.5 0 0 0.0572176 0.185451 0.19288 0.263718 0.0998529 0.127935 0.0573846 0.0188439 0.00409937 1.41307e-09 0 0 0.0965765 0.142407 0.216192 0.21393 0.143332 0.128353 0.094272 0.0603644 0.0620743 0.0230241 0 0
453.224 1.9043 256.062 164.926 1.00798 1.0137 0.2 0.6 1 1.5 1.9 2.4 3.1 4 4.4 6 0 0 0.0552331 0.209586 0.229306 0.242343 0.0860122 0.116745 0.0512941 0.0174625 8.62865e-13 2.6584e-11 0 0 0.094597 0.167101 0.247765 0.179661 0.139922 0.0857324 0.0635143 0.00727984 0.0131602 0.014968 0 0
454.854 1.91115 256.992 165.855 1.00821 1.08799 -0.0999 0.5 0.8 1.3 1.7 2.3 3 3.9 4.8 5.1 0 0 0.0352081 0.131662 0.229012 0.239135 0.159783 0.132169 0.0584737 0.0207884 0.00197601 1.01891e-11 0 0 0.068932 0.124119 0.187742 0.278734 0.11568 0.166928 0.0717368 0.0594147 2.85646e-09 0.0146971 0 0
446.605 1.87649 252.252 161.115 1.00807 1.00305 0.1 0.6 1.1 1.5 2 2.6 3.3 3.9 4.1 5.4 0 0 0.0388033 0.258477 0.235481 0.192067 0.143366 0.0903611 0.0369942 0.000842558 0.0116809 4.63074e-13 0 0 0.074981 0.218109 0.242891 0.176958 0.130129 0.105598 0.0175096 0.0314537 8.76316e-12 0.00541803 0 0
474.261 1.99269 267.813 176.677 1.00624 1.5684 0.2 0.6 1 1.5 2 2.5 3.2 4 4.7 5.7 0 0 0.0553999 0.209163 0.228559 0.250546 0.106188 0.0977418 0.0439998 0.0124147 0.00222528 1.71662e-11 0 0 0.0926597 0.185986 0.230527 0.246087 0.164486 0.140265 0.175709 0.131061 0.124534 0.0770826 0 0
589.582 2.47723 324.186 233.05 1.01035 1.05668 0.0001 0.4 1 1.5 1.9 2.4 3.1 3.6 3.8 5 0 0 0.0498304 0.132153 0.309505 0.245192 0.124154 0.0498756 0.0813965 0.0140063 2.44507e-11 0.00423817 0 0 0.0325332 0.173397 0.322931 0.165113 0.11992 0.115274 0.0419009 0.0146552 0.0293746 0.0415851 0 0
520.258 2.18596 291.788 200.652 1.01306 1.10661 0.2 0.5 1 1.5 1.9 2.5 3.2 4.1 5.2 5 0 0 0.1065 0.0788556 0.30639 0.241125 0.132035 0.0531141 0.0830878 1.21014e-14 0.0119481 9.3151e-12 0 0 0.075612 0.158631 0.290282 0.167544 0.169489 0.106748 0.0838065 0.036542 0.00356714 0.0143856 0 0
529.242 2.22371 296.223 205.086 1.01348 1.01537 0.2 0.6 1 1.4 1.9 2.4 3.1 3.5 4.5 5.2 0 0 0.112655 0.102007 0.232244 0.255009 0.167615 0.0370286 0.0786846 0.0177025 2.19168e-10 0.0105378 0 0 0.0907075 0.189828 0.191873 0.203446 0.166819 0.0864389 0.0693452 0.00885117 0.00805878 4.53619e-09 0 0
527.508 2.21642 295.373 204.236 1.01315 1.06507 0.2 0.6 1.1 1.6 1.9 2.4 3.2 4 4.6 5.2 0 0 0.110737 0.118349 0.330174 0.196417 0.101068 0.0579106 0.0871034 3.82422e-12 7.66331e-12 0.0113864 0 0 0.0892287 0.203353 0.271508 0.151938 0.118513 0.106696 0.0878799 0.0147488 0.0208442 0.000364899 0 0
442.994 1.86132 250.149 159.012 1.00717 1.26611 0.2 0.6 1 1.4 1.9 2.5 3.2 4 4.7 5.7 0 0 0.0536947 0.218635 0.195305 0.223674 0.156315 0.100696 0.0441658 0.0136625 0.00102389 1.06187e-12 0 0 0.0911661 0.189554 0.198652 0.201641 0.188907 0.117459 0.105545 0.0681268 0.0651911 0.0398641 0 0
563.995 2.36973 312.695 221.558 1.0123 1.15039 -0.0999 0.4 1 1.5 1.8 2.4 3.2 4 5 5.2 0 0 0.057676 0.121599 0.318304 0.210581 0.137047 0.0720808 0.0850484 6.39672e-12 5.98702e-09 0.00996519 0 0 0.0382523 0.16819 0.328708 0.147311 0.134153 0.147628 0.0772973 0.0604401 0.0484132 2.21271e-10 0 0
625.947 2.63003 339.688 248.552 1.01122 0.930469 0.1 0.6 1.1 1.5 1.9 2.2 3.1 3.5 4.5 5.3 0 0 0.0830529 0.169723 0.262259 0.227881 0.0859744 0.0796048 0.0875576 0.010455 1.0848e-12 0.00471274 0 0 0.0686445 0.225045 0.241976 0.0988505 0.151322 0.0296365 0.0462047 1.66684e-08 0.0384879 0.0303018 0 0
542.348 2.27877 302.558 211.422 1.01134 1.15023 0.2 0.7 1.2 1.7 2.1 2.7 3.2 4 4.6 5.4 0 0 0.116291 0.170735 0.328342 0.190777 0.0858419 0.0315599 0.0793973 5.80782e-09 1.69e-08 0.00839214 0 0 0.102395 0.255371 0.242747 0.161677 0.136195 0.0593054 0.0850008 0.0402739 0.039463 0.0278005 0 0
522.001 2.19328 292.655 201.518 1.01279 0.990209 0.2 0.5 0.9 1.3 1.7 2.2 3.1 3.5 4.4 5.2 0 0 0.110456 0.0576576 0.225449 0.233139 0.188289 0.0904232 0.0846457 0.013295 2.11692e-12 0.00943901 0 0 0.0812725 0.129698 0.228569 0.163765 0.163944 0.129452 0.0776039 3.15435e-11 0.0131236 0.0027803 0 0
556.752 2.33929 309.347 218.211 1.0086 1.35864 0.2 0.6 1.1 1.7 2.2 2.8 3.3 4 4.7 5.6 0 0 0.111444 0.114031 0.347865 0.265059 0.0542386 0.048128 0.0654961 8.92247e-12 2.63814e-10 0.00233387 0 0 0.0898359 0.202594 0.291292 0.229926 0.134789 0.0915749 0.0982842 0.0723736 0.0897332 0.0582385 0 0
546.958 2.29814 304.75 213.614 1.0127 1.01201 0.1 0.5 1 1.4 1.8 2.2 3.1 3.6 4.3 5.2 0 0 0.0744789 0.128497 0.253428 0.228685 0.142277 0.0766648 0.0870923 0.0124833 1.89293e-14 0.00909444 0 0 0.0552876 0.184565 0.264192 0.134033 0.147496 0.113204 0.0901391 2.14194e-10 0.0195094 0.0035804 0 0
