Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
463.378 1.93074 250.687 168.664 1.00859 1.02273 0.2 0.5 0.7 1.2 1.5 2.2 2.9 3.8 4.7 5.2 0 0 0.0647241 7.77223e-12 0.30935 0.139658 0.244555 0.15777 0.064178 0.0249904 0.00336533 0 0 0 0.107842 5.14596e-10 0.244043 0.194878 0.1927 0.169488 0.0727452 0.0410311 2.57225e-10 0 0 0
740.244 3.08435 372.012 289.989 1.01206 0.913294 0.2 0.5 1 1.2 1.7 2.5 2.7 4 4.9 5.2 0 0 0.0869028 0.0933742 0.264587 0.17469 0.193061 0.111175 0.0566366 0.0316359 1.14578e-10 0 0 0 0.0810472 0.153592 0.206523 0.129412 0.21761 0.0954192 0.0131387 0.00843844 0.00811233 0 0 0
475.122 1.97968 257.17 175.147 1.00828 1.08113 0.3 0.6 1 1.3 1.7 2.4 3.2 4.1 4.2 5.2 0 0 0.0873522 0.157332 0.249232 0.0949461 0.227819 0.125411 0.0526066 0.00170208 0.0118777 0 0 0 0.163334 0.0525305 0.30507 0.0677021 0.221562 0.153122 0.0753431 0.0424711 3.93867e-10 0 0 0
469.778 1.95741 254.24 172.217 1.00764 1.16388 0.3 0.6 1 1.4 1.8 2.5 3.3 4.3 4.4 5.2 0 0 0.0874962 0.15723 0.254109 0.149822 0.189178 0.114953 0.0442166 0.0106315 4.49399e-10 0 0 0 0.157712 0.0585926 0.332802 0.0565921 0.25428 0.126487 0.111969 0.0288887 0.0365601 0 0 0
545.696 2.27373 293.039 211.016 1.0075 0.976121 0.2 0.4 0.9 1 1.6 2.2 3.1 3.4 4.5 5.2 0 0 0.0898464 0.0815405 4.06059e-12 0.343086 0.297815 0.0969052 0.0783366 0.0199713 1.88985e-10 0 0 0 0.063268 0.116187 0.238976 0.0908225 0.250208 0.128074 0.0748581 2.18991e-12 0.0137268 0 0 0
537.21 2.23838 288.979 206.956 1.00773 0.978143 0.2 0.4 0.9 1 1.6 2.2 3.1 3.5 4.6 5.2 0 0 0.0898433 0.0815182 1.00286e-12 0.343099 0.297784 0.0961673 0.0839972 0.0153165 4.43212e-12 0 0 0 0.0506373 0.142803 0.152429 0.170161 0.243573 0.13261 0.0744264 4.31889e-11 0.0115011 0 0 0
545.544 2.2731 292.967 210.944 1.00795 0.975208 0.2 0.4 0.9 1 1.6 2.2 3.1 3.5 4.5 5.2 0 0 0.0899163 0.0813637 1.88556e-11 0.343127 0.297805 0.0965095 0.0827959 0.0164375 2.34018e-12 0 0 0 0.0632555 0.116242 0.239219 0.0903568 0.250549 0.127485 0.0749389 1.83357e-09 0.013162 0 0 0
524.802 2.18668 282.927 200.904 1.00741 1.01253 0.2 0.6 1.1 1 1.7 2.4 3.2 3.6 4.5 5.2 0 0 0.111693 0.113933 0.346562 1.03517e-08 0.27548 0.0729538 0.0841218 0.00266431 1.65394e-10 0 0 0 0.0917001 0.18664 0.194276 0.085014 0.251179 0.117324 0.0642239 0.00692627 0.0152519 0 0 0
740.244 3.08435 372.012 289.989 1.01206 0.913287 0.2 0.5 1 1.2 1.7 2.5 2.7 4 4.9 5.2 0 0 0.0869027 0.0933743 0.264587 0.174691 0.193061 0.111175 0.056636 0.0316359 7.66054e-15 0 0 0 0.0810473 0.153592 0.206523 0.129412 0.217609 0.0954209 0.0131348 0.00843549 0.00811197 0 0 0
446.232 1.8593 240.922 158.899 1.00832 0.997126 0.2 0.5 0.9 1.2 1.7 2.4 3.1 3.8 4.4 5.2 0 0 0.0393378 0.165091 0.202602 0.177887 0.2325 0.12252 0.0486442 0.0147725 0.00496294 0 0 0 0.0937932 0.10936 0.203818 0.177843 0.211512 0.13076 0.0406279 0.0224356 0.00697613 0 0 0
